sample_id,side,edge_id,lm_start,lm_end,regions,expected_point_count,compared_point_count,invalid_point_count,replacement_point_count,unresolved_point_count,mean_distance_mm,rms_distance_mm,max_distance_mm,max_conflict_distance_mm,max_replacement_distance_mm,status
T077,L,L10__L13,L10,L13,T003;T004,25,25,0,9,0,0.16574369068062722,0.3242028683075277,0.8109197971250243,1.831026719408895e-15,0.8109197971250243,PASS
T077,L,L10__L17,L10,L17,T003;T005,25,25,0,0,0,3.591688561768246e-15,4.334105732178673e-15,7.407775423123775e-15,7.407775423123775e-15,0.0,PASS
T077,L,L10__L31,L10,L31,T002;T004,25,25,0,7,0,0.2384775537064359,0.49933961612917743,1.245228459388669,5.993148011758445e-15,1.245228459388669,PASS
T077,L,L13__L17,L13,L17,T003;T006,25,25,0,1,0,1.5276291488663496e-15,2.0791723739534306e-15,5.329070518200751e-15,5.329070518200751e-15,0.0,PASS
T077,L,L13__L28,L13,L28,T006;T007,25,25,0,0,0,1.4182116377344589e-15,2.461392238570962e-15,7.105427357601002e-15,7.105427357601002e-15,0.0,PASS
T077,L,L17__L18,L17,L18,T005;T009,25,25,0,3,0,0.05173950428238224,0.1829996960851683,0.6650074884442757,4.351167857633658e-15,0.6650074884442757,PASS
T077,L,L17__L28,L17,L28,T006;T010,25,25,0,5,1,0.1507741817500642,0.3487064602960604,0.9870458452567181,7.32410687763558e-15,0.9870458452567181,PASS
T077,L,L17__L29,L17,L29,T009;T010,25,25,0,6,0,0.08187865443661854,0.2084378781886813,0.5947120039292783,2.5121479338940403e-15,0.5947120039292783,PASS
T077,L,L18__L20,L18,L20,T008;T011,25,25,0,3,0,0.022448540915236577,0.11224270457617269,0.5612135228808635,6.205342290003078e-15,0.5612135228808635,PASS
T077,L,L18__L29,L18,L29,T009;T011,25,25,0,3,1,0.020313719618413897,0.07407216063304181,0.318010780767592,1.637720085286689e-14,0.318010780767592,PASS
T077,L,L19__L28,L19,L28,T007;T013,25,25,0,0,0,2.1672027944732836e-15,3.0664673470028113e-15,7.944109290391274e-15,7.944109290391274e-15,0.0,PASS
T077,L,L19__L29,L19,L29,T012;T013,25,25,0,1,0,1.170415654527771e-15,2.009718347115232e-15,3.972054645195637e-15,3.972054645195637e-15,0.0,PASS
T077,L,L20__L21,L20,L21,T014;T015,25,25,0,1,1,0.01615482734517284,0.08077413672586,0.4038706836293,7.105427357601002e-15,0.4038706836293,PASS
T077,L,L20__L29,L20,L29,T011;T015,25,25,0,3,0,0.004371789771712499,0.021858948858548388,0.10929474429274194,8.702335715267317e-15,0.10929474429274194,PASS
T077,L,L21__L29,L21,L29,T012;T015,25,25,0,3,1,0.04775916049835228,0.13823744485285827,0.4273726299662211,7.105427357601002e-15,0.4273726299662211,PASS
T077,L,L28__L29,L28,L29,T010;T013,25,25,0,0,0,3.138071957060571e-15,4.003704983398622e-15,9.565974336450906e-15,9.565974336450906e-15,0.0,PASS
T077,L,L2__L31,L2,L31,T001;T002,25,25,0,1,0,6.420297684786673e-16,1.6574703926261168e-15,5.617333549722722e-15,5.617333549722722e-15,0.0,PASS
