sample_id,side,edge_id,lm_start,lm_end,regions,expected_point_count,compared_point_count,invalid_point_count,replacement_point_count,unresolved_point_count,mean_distance_mm,rms_distance_mm,max_distance_mm,max_conflict_distance_mm,max_replacement_distance_mm,status
T076,L,L10__L13,L10,L13,T003;T004,25,25,0,9,2,0.45484806666989414,0.8698472151362238,2.125497861767565,0.24986119542348242,2.125497861767565,PASS
T076,L,L10__L17,L10,L17,T003;T005,25,25,0,0,0,1.09153281055645e-15,1.2645337902904292e-15,2.6645352591003757e-15,2.6645352591003757e-15,0.0,PASS
T076,L,L10__L31,L10,L31,T002;T004,25,25,0,9,1,0.7669391542163336,1.3386038647123404,2.839499254652487,8.015695990301782e-15,2.839499254652487,PASS
T076,L,L13__L17,L13,L17,T003;T006,25,25,0,7,1,0.22905024162344062,0.49982339480303467,1.379103920368606,5.102196573270515e-15,1.379103920368606,PASS
T076,L,L13__L28,L13,L28,T006;T007,25,25,0,1,0,1.9758604753437335e-16,4.864753555590494e-16,1.831026719408895e-15,1.831026719408895e-15,0.0,PASS
T076,L,L17__L18,L17,L18,T005;T009,25,25,0,0,0,1.624103198170491e-15,2.105007448093643e-15,5.687116766346677e-15,5.687116766346677e-15,0.0,PASS
T076,L,L17__L28,L17,L28,T006;T010,25,25,0,5,1,0.21909513543065934,0.5067639347813542,1.4113709198568114,5.329070518200751e-15,1.4113709198568114,PASS
T076,L,L17__L29,L17,L29,T009;T010,25,25,0,2,0,4.849554194618437e-16,1.2685725232129474e-15,5.329070518200751e-15,5.329070518200751e-15,0.0,PASS
T076,L,L18__L20,L18,L20,T008;T011,25,25,0,6,0,0.15185511799053575,0.39251294768879963,1.222588620679917,7.105427357601002e-15,1.222588620679917,PASS
T076,L,L18__L29,L18,L29,T009;T011,25,25,0,2,0,4.598419967609184e-15,5.829734085197447e-15,1.3352249420226865e-14,1.3352249420226865e-14,0.0,PASS
T076,L,L19__L28,L19,L28,T007;T013,25,25,0,0,0,1.3086671723261638e-15,2.1357874857860975e-15,6.4047456679787536e-15,6.4047456679787536e-15,0.0,PASS
T076,L,L19__L29,L19,L29,T012;T013,25,25,0,2,0,6.073449860585797e-16,1.3673332971056465e-15,3.972054645195637e-15,3.972054645195637e-15,0.0,PASS
T076,L,L20__L21,L20,L21,T014;T015,25,25,0,2,1,0.04650964466129894,0.1644587361015188,0.5909477437909226,7.119291619286993e-15,0.5909477437909226,PASS
T076,L,L20__L29,L20,L29,T011;T015,25,25,0,2,1,0.018832130337142938,0.09416065168570019,0.47080325842850096,5.0242958677880805e-15,0.47080325842850096,PASS
T076,L,L21__L29,L21,L29,T012;T015,25,25,0,0,1,2.452044266689081e-15,3.1826049115524522e-15,7.32410687763558e-15,7.32410687763558e-15,0.0,PASS
T076,L,L28__L29,L28,L29,T010;T013,25,25,0,1,0,4.081166003010006e-15,5.227441224619924e-15,1.1916163935586911e-14,1.1916163935586911e-14,0.0,PASS
T076,L,L2__L31,L2,L31,T001;T002,25,25,0,1,0,9.293463432178219e-16,1.805128410010917e-15,5.617333549722722e-15,5.617333549722722e-15,0.0,PASS
