sample_tag,landmark_count,rms_landmark_residual_mm,max_landmark_residual_mm,det_rotation,max_mesh_edge_distance_error_mm,gpa_iterations,gpa_converged,gpa_final_delta,status
T013_L,4,3.213309093193071,4.7367845304078955,1.0000000000000009,1.2212453270876722e-14,5,True,1.1428304546878948e-09,PASS
T076_L,4,3.028778404381249,3.3566128597891165,1.0000000000000009,8.881784197001252e-15,5,True,1.1428304546878948e-09,PASS
T077_L,4,2.34824997091634,3.583667499489791,1.000000000000001,8.881784197001252e-15,5,True,1.1428304546878948e-09,PASS
T078_L,4,2.320818948181062,3.175647992324701,0.9999999999999992,8.659739592076221e-15,5,True,1.1428304546878948e-09,PASS
T088_L,4,2.085689624586043,2.95178698477832,1.0000000000000007,1.709743457922741e-14,5,True,1.1428304546878948e-09,PASS
T099_L,4,1.1148524974028198,1.7295859999098155,0.9999999999999998,1.2156942119645464e-14,5,True,1.1428304546878948e-09,PASS
