sample_tag,input_layer,landmark_count,rms_landmark_residual_mm,max_landmark_residual_mm,det_rotation,max_mesh_edge_distance_error_mm,gpa_iterations,gpa_converged,gpa_final_delta,status
T013_L,weld_repaired,4,2.942681386889126,4.245355249783675,1.0,1.587618925213974e-14,5,True,1.4145411814621969e-09,PASS
T076_L,weld_repaired,4,3.712549932008584,4.1946934851018645,0.9999999999999997,7.993605777301127e-15,5,True,1.4145411814621969e-09,PASS
T077_L,weld_repaired,4,2.0441516149750263,2.7024227231842004,1.0000000000000013,8.548717289613705e-15,5,True,1.4145411814621969e-09,PASS
T078_L,weld_repaired,4,2.269116052721372,2.87673347471056,1.0000000000000004,9.048317650695026e-15,5,True,1.4145411814621969e-09,PASS
T088_L,weld_repaired,4,2.5169733770472855,3.5561827368566754,0.9999999999999988,1.354472090042691e-14,5,True,1.4145411814621969e-09,PASS
T094_L,weld_repaired,4,2.1150774984616145,3.4328572723812227,0.9999999999999988,1.84297022087776e-14,5,True,1.4145411814621969e-09,PASS
T097_L,weld_repaired,4,3.158019954231064,4.239880987391576,1.0000000000000007,1.0935696792557792e-14,5,True,1.4145411814621969e-09,PASS
T099_L,weld_repaired,4,1.102082733440585,1.575035933953736,0.9999999999999987,9.547918011776346e-15,5,True,1.4145411814621969e-09,PASS
