landmark_id,x,y,z
B1,-41.335968,26.892008,-7.089620
B2,-30.879158,34.131351,-14.565071
B3,-16.679314,33.339101,-16.316586
B4,-2.369239,34.073270,-17.561747
B5,0.813542,21.429543,-11.502426
B6,3.699195,0.456847,-3.798233
B7,5.064035,-21.907993,3.829130
B8,5.864035,-37.907993,13.363139
B9,-10.535966,-37.009495,18.589295
B10,-27.590197,-36.274575,20.845867
B11,-44.546623,-35.135520,24.567725
B12,-44.935966,-15.424985,15.283415
B13,-45.940795,3.404126,4.886593
B14,-44.003890,18.759931,-2.418862
L7,-8.128026,17.675933,-10.927576
L4,-16.079374,18.492008,-18.716585
L2,-22.490702,19.892008,-21.164390
L6,-32.846728,10.311594,-21.908221
L16,-34.335968,-1.907993,-17.547848
L23,-18.802586,-28.469607,-9.327342
L26,0.731148,-30.294690,8.270112
L21,-6.535965,-15.835267,0.108117
L19,-9.097685,-8.907993,-3.516586
L13,-12.935966,-1.264743,0.283415
L31,-12.864933,6.031406,-8.393514
L10,-20.535967,6.051090,-5.916585
L9,-27.135965,9.892008,-14.413998
L18,-25.341486,-7.068541,-12.471493
L20,-16.776454,-11.345331,-4.316585
L29,-8.449455,-11.884357,7.083415
L28,-12.330149,-1.230736,4.683415
L17,-19.335966,-1.513409,0.784861
L8,-24.135781,15.892008,-6.485586
L15,-30.661819,0.478260,1.069667
L22,-15.703567,-17.225692,11.006420
