landmark_id,x,y,z
B1,17.050553,68.272285,-1.001657
B2,6.502616,64.825031,-9.996568
B3,-8.604782,59.588578,-17.458538
B4,-28.885460,53.466717,-24.258537
B5,-23.976081,35.170392,-20.458536
B6,-16.992306,9.908720,-17.058537
B7,-14.485460,-4.727713,-13.346916
B8,-11.943207,-21.640546,-7.689885
B9,0.032771,-17.109766,-0.784073
B10,16.877664,-10.549807,12.941462
B11,29.036313,-5.727713,20.396267
B12,26.863048,11.712977,14.741462
B13,25.923881,34.252385,6.150887
B14,22.314539,51.472286,1.641108
L7,-15.285459,38.053528,-18.179679
L4,-9.719823,46.072285,-26.258537
L2,-1.085460,50.672283,-29.546940
L6,16.114538,44.127970,-27.769121
L16,23.714539,29.672285,-18.899845
L23,20.851459,5.371259,-10.458537
L26,2.159511,-12.165809,-1.208221
L21,-2.079861,4.537859,-4.511582
L19,-2.475199,12.462860,-13.250322
L13,-1.908955,24.987669,-10.258537
L31,-6.966775,32.524820,-17.458538
L10,3.302083,33.521178,-14.858538
L9,11.280806,39.780123,-22.244328
L18,14.002855,23.208545,-19.289808
L20,6.189320,13.872286,-10.658538
L29,-4.085460,11.414178,-0.361989
L28,-2.885460,24.284640,-2.458538
L17,5.114539,27.560124,-5.022047
L8,-3.266941,45.459904,-12.525049
L15,14.673023,31.707886,-2.622937
L22,7.748805,8.672286,2.141462
