landmark_id,x,y,z
B1,-24.805521,48.798810,-28.438875
B2,-10.829574,47.573969,-22.062286
B3,8.191458,41.266543,-19.638874
B4,22.368005,37.864483,-16.529121
B5,17.761934,21.708618,-3.062914
B6,12.394480,7.364358,0.033075
B7,6.628020,-9.869183,5.052335
B8,-0.764965,-31.534865,15.455136
B9,-14.553739,-26.235643,15.561127
B10,-33.469467,-18.971697,16.259919
B11,-50.827660,-12.226497,17.451026
B12,-45.194744,2.631377,7.230820
B13,-39.323839,17.752398,-0.655928
B14,-31.717296,38.397456,-9.774227
L7,6.994480,31.606009,-15.038874
L4,4.350596,35.426533,-20.981798
L2,-2.250127,39.786505,-24.275161
L6,-16.088719,36.420602,-24.770411
L16,-25.747122,24.764359,-20.638874
L23,-21.805521,-9.016953,-9.238873
L26,-3.954055,-21.835644,4.161127
L21,-5.376255,-2.370092,5.442362
L19,-5.971067,3.598236,1.751666
L13,-4.655660,10.085094,-0.665245
L31,1.138889,23.564358,-8.838874
L10,-6.769988,22.691546,-7.738569
L9,-10.142225,29.033461,-19.826694
L18,-14.605520,11.070847,-16.364984
L20,-12.285612,1.844449,-4.381503
L29,-8.405520,5.364357,11.214813
L28,-6.646003,13.891041,5.851736
L17,-6.686964,23.682915,2.744451
L8,-15.460177,28.052037,-8.632041
L15,-26.005522,18.666009,-3.330914
L22,-26.205520,2.877077,4.961126
