landmark_id,x,y,z
B1,31.638648,22.973712,8.245105
B2,15.444295,22.601158,5.570583
B3,-0.393869,20.072517,-4.190271
B4,-16.785210,17.991990,-10.736943
B5,-20.785210,5.674461,-0.599834
B6,-22.089769,-13.344086,6.275776
B7,-21.185210,-32.725540,10.807123
B8,-21.985210,-54.525540,18.341206
B9,-7.265750,-53.695451,23.463057
B10,7.014790,-52.525540,31.728560
B11,23.896820,-49.725536,39.063057
B12,25.414790,-30.785084,32.463055
B13,27.504703,-10.023415,22.863056
B14,29.321827,6.914609,17.463057
L7,1.395099,5.353092,-0.336944
L4,6.620726,8.700374,-3.258381
L2,14.014790,10.874461,-3.585247
L6,25.290614,3.299313,2.408255
L16,24.214788,-13.814650,9.463057
L23,19.127777,-29.925539,11.463057
L26,-0.069463,-42.325540,19.263056
L21,-2.342805,-26.725538,12.866541
L19,-0.785210,-19.976959,9.170707
L13,0.882898,-13.639080,9.425617
L31,2.376484,-5.325539,6.463056
L10,9.814790,-6.669728,6.263056
L9,17.762602,-0.487721,4.664040
L18,11.742817,-19.725538,4.863056
L20,6.158118,-21.125538,9.502903
L29,-2.785210,-21.813410,18.712299
L28,0.871277,-12.996222,16.980511
L17,10.414789,-9.925539,15.126728
L8,14.566222,2.522821,11.319120
L15,19.043116,-12.980512,19.263056
L22,4.251656,-38.180099,25.256029
