landmark_id,x,y,z
B1,-10.440065,61.743027,-2.643876
B2,-2.440066,56.121162,-13.550211
B3,18.993333,47.775729,-25.164733
B4,30.782593,43.920368,-28.480162
B5,27.227496,30.675464,-24.261295
B6,22.928977,13.343027,-19.650235
B7,16.730356,-6.427394,-15.892208
B8,12.781044,-26.186036,-8.681465
B9,4.159934,-22.656973,-2.997087
B10,-12.560848,-13.856972,15.449788
B11,-21.440065,-9.449768,22.734460
B12,-20.840065,12.571079,13.249788
B13,-19.626065,28.448534,6.629873
B14,-13.630068,52.191769,0.449788
L7,13.559934,34.765932,-20.632569
L4,7.359934,42.521534,-18.380888
L2,-5.151123,46.869304,-23.150211
L6,-20.640066,37.105407,-18.868291
L16,-24.240065,19.543028,-14.750248
L23,-19.513999,-3.352457,-8.935105
L26,0.959934,-15.223756,0.160564
L21,5.159934,-0.256972,-4.872477
L19,4.759934,9.543028,-11.581730
L13,5.652817,17.943027,-11.950212
L31,4.934915,31.373663,-20.003975
L10,-7.040066,26.255808,-14.750212
L9,-13.972247,31.436192,-15.860343
L18,-14.756200,13.882114,-13.350211
L20,-5.717117,7.245009,-10.008541
L29,3.159934,4.641544,-1.349689
L28,1.759934,18.143026,-2.923698
L17,-4.240066,14.141587,1.449788
L8,-9.219447,30.943027,-5.062729
L15,-13.440065,13.943027,-0.165849
L22,-7.440066,3.040344,1.468348
