landmark_id,x,y,z
B1,41.731072,29.838354,-4.609403
B2,30.281731,31.718946,-15.548282
B3,13.392192,37.333304,-29.445329
B4,-0.007809,21.118948,-30.767693
B5,-6.589306,14.488689,-20.262321
B6,-8.207809,3.718947,-14.883248
B7,-10.275190,-9.200936,-7.629293
B8,-11.950370,-23.881054,0.669821
B9,0.732554,-22.606416,8.251719
B10,15.992192,-18.081055,18.943151
B11,30.836662,-14.881054,27.451721
B12,32.829807,-5.836611,19.872247
B13,36.449901,7.235730,9.134937
B14,38.592194,20.041153,0.851719
L7,9.583075,23.903097,-24.668984
L4,16.671207,27.918949,-31.148283
L2,24.992193,30.318949,-31.468981
L6,34.353424,17.208232,-24.720391
L16,32.066612,2.049753,-16.046261
L23,20.787844,-11.777649,-6.348281
L26,6.011060,-15.944551,5.451719
L21,8.139843,-4.943340,-4.383801
L19,9.843247,0.318947,-10.748281
L13,12.392192,11.518948,-13.499148
L31,14.192192,17.435305,-19.348282
L10,23.534379,15.177486,-17.606820
L9,27.042315,19.783056,-22.520339
L18,25.402111,5.817192,-16.519947
L20,17.285840,0.956688,-10.315413
L29,13.336670,2.695263,0.227099
L28,14.792192,10.636203,-3.666159
L17,22.792192,13.062961,-7.286463
L8,21.608487,24.318949,-14.823754
L15,27.701128,11.118947,-5.548281
L22,21.992191,-0.309319,-0.148281
