landmark_id,x,y,z
B1,50.694453,36.220983,-22.627953
B2,35.003140,38.702350,-22.658043
B3,17.229265,38.748287,-25.847078
B4,3.098762,40.122342,-25.990016
B5,-7.898384,26.479220,-13.647079
B6,-10.093948,7.156007,-6.729574
B7,-11.570735,-10.064199,0.352920
B8,-13.904837,-27.120779,10.856514
B9,0.029265,-28.520779,14.008560
B10,16.947013,-27.683780,20.210515
B11,35.474697,-27.920778,24.552920
B12,39.029263,-12.924892,15.152920
B13,43.482078,1.921004,1.897663
B14,46.201836,28.152533,-3.388967
L7,6.001726,27.679220,-17.647080
L4,9.527657,30.177612,-23.907600
L2,16.429264,29.479220,-29.379671
L6,25.029264,21.479220,-30.562141
L16,29.629265,6.679221,-21.722153
L23,18.298184,-13.595152,-5.271435
L26,1.085836,-22.435223,8.296350
L21,5.228426,-1.517791,1.453958
L19,7.144470,3.394354,-4.647079
L13,8.843519,12.072331,-6.680857
L31,8.429265,20.100046,-13.247079
L10,15.829265,15.417038,-14.847079
L9,21.229265,17.714523,-21.247080
L18,18.738986,4.501335,-15.047079
L20,11.560439,0.356106,-5.047080
L29,6.829265,0.879221,3.391861
L28,12.029264,11.280050,1.552920
L17,16.560910,7.147576,2.821121
L8,19.368547,23.479220,-14.247079
L15,24.310083,5.854615,-3.663109
L22,15.429265,-3.569851,6.152920
