landmark_id,x,y,z
B1,-11.960088,32.607893,-3.899245
B2,-1.460532,34.214928,-9.774891
B3,11.602718,30.076996,-12.151094
B4,24.325717,24.553996,-11.054893
B5,20.599907,10.279807,-8.073157
B6,16.464785,-5.785071,-1.490149
B7,11.533525,-21.658544,4.000385
B8,7.464786,-41.326073,12.025109
B9,-7.335214,-36.466275,18.019780
B10,-19.458184,-30.851007,24.866836
B11,-31.535213,-26.585072,29.098766
B12,-27.818720,-8.101565,17.931557
B13,-23.773691,10.814928,8.625110
B14,-19.935213,27.636317,1.537003
L7,10.524722,11.614928,-7.774890
L4,8.038433,18.861017,-12.714121
L2,-0.374032,23.861674,-17.374890
L6,-13.935214,18.014929,-17.076610
L16,-19.340638,6.678086,-13.974891
L23,-14.335214,-19.352548,-3.095686
L26,-2.803118,-33.812590,12.225109
L21,-0.428823,-16.785070,7.393615
L19,1.588172,-9.917159,1.825109
L13,1.464786,-0.316851,2.715318
L31,2.018817,5.614928,-4.156456
L10,-5.923540,8.835210,-4.574891
L9,-10.935214,15.214929,-10.733069
L18,-11.842111,-1.585072,-8.174891
L20,-6.256093,-8.498767,-0.174891
L29,-1.135214,-10.892557,12.733790
L28,0.101691,-1.890728,8.029453
L17,-7.873236,1.414928,3.139851
L8,-6.535214,15.801427,-2.374891
L15,-18.082346,5.614928,6.625109
L22,-9.615929,-15.985071,12.785199
