landmark_id,x,y,z
B1,-41.628304,41.743187,-10.791360
B2,-29.044285,42.743187,-17.611507
B3,-10.720340,41.343185,-21.704129
B4,5.371694,28.543186,-16.455807
B5,3.771694,20.143187,-12.699087
B6,-2.034004,7.952106,-4.925874
B7,-6.716083,-4.452271,1.619861
B8,-13.113828,-21.205674,12.438697
B9,-24.597080,-16.220928,15.128244
B10,-44.525816,-4.056812,22.196023
B11,-53.147549,-0.075455,26.001631
B12,-51.228107,12.092018,17.439662
B13,-48.937492,23.743187,4.633629
B14,-45.015618,35.343185,-5.171394
L7,-7.322877,25.448616,-12.732608
L4,-12.947239,31.943188,-21.611507
L2,-21.654215,35.619236,-25.419594
L6,-37.215502,23.730383,-19.918871
L16,-42.381956,9.948779,-10.152520
L23,-36.930715,-3.066487,-1.212637
L26,-24.428305,-12.625373,12.788492
L21,-19.630771,5.343187,5.868495
L19,-16.021392,9.743187,-2.267458
L13,-18.572980,19.072197,-3.611508
L31,-15.828306,23.543188,-11.301540
L10,-27.744608,19.497134,-12.746094
L9,-28.028305,25.858453,-16.803776
L18,-34.528511,8.343187,-6.211508
L20,-27.462451,7.109041,-1.682449
L29,-24.395112,11.671413,7.214162
L28,-22.628305,19.697399,3.988492
L17,-30.228306,21.017780,-0.721631
L8,-26.983802,32.743187,-8.896146
L15,-36.883658,23.787977,-1.025047
L22,-35.828304,11.154687,6.887531
