landmark_id,x,y,z
B1,-37.512532,48.471871,14.451515
B2,-29.986960,46.655451,5.070564
B3,-17.747677,45.593024,-8.276528
B4,0.238257,43.632195,-20.993282
B5,3.598178,24.492413,-15.402110
B6,6.243411,10.672207,-11.880123
B7,7.824521,-3.631482,-9.594953
B8,9.805817,-27.814944,-4.291593
B9,-1.561936,-27.430487,3.163453
B10,-15.129223,-25.217063,19.856029
B11,-25.049181,-23.474920,30.589705
B12,-28.211615,-7.756669,27.009087
B13,-32.453899,9.969515,18.216734
B14,-34.109657,30.761515,15.834060
L7,-6.042077,26.348326,-14.581817
L4,-13.053898,31.369514,-18.255466
L2,-21.466014,35.291279,-15.796702
L6,-34.756145,21.969515,-8.790915
L16,-33.740540,6.569515,-3.590915
L23,-24.732198,-7.299733,-0.167536
L26,-5.157789,-22.145313,3.862646
L21,-4.522485,-3.794358,-3.191443
L19,-6.853898,2.569515,-6.547616
L13,-6.053898,11.092233,-5.790915
L31,-9.901270,21.207959,-13.549707
L10,-18.453897,16.689352,-6.390915
L9,-24.453899,22.569515,-10.733975
L18,-26.247789,7.569515,-7.190915
L20,-18.331714,0.202659,-4.759847
L29,-8.319229,-1.476457,2.494544
L28,-9.453898,9.169515,2.072641
L17,-16.253899,9.369515,1.383023
L8,-19.053898,23.215862,-1.879849
L15,-22.308231,8.876037,4.069187
L22,-15.684059,-2.134535,4.903248
