landmark_id,x,y,z
B1,16.913902,28.322968,-8.426920
B2,2.730057,30.089665,-12.609699
B3,-20.015904,28.072340,-13.650629
B4,-30.283546,20.485386,-13.284144
B5,-32.539391,10.729279,-8.043227
B6,-32.892185,-4.273758,-5.903974
B7,-31.664099,-18.985798,-3.130796
B8,-32.486099,-33.985798,1.493894
B9,-18.124798,-35.024496,3.081362
B10,1.411320,-33.088380,11.698999
B11,15.313902,-32.985798,14.978660
B12,15.097421,-13.402279,9.891794
B13,15.313902,0.414202,4.730405
B14,16.041868,16.204063,-0.269967
L7,-19.407761,14.814202,-10.226920
L4,-14.904463,20.068495,-13.997850
L2,-4.486099,23.414204,-19.032217
L6,4.502910,16.019278,-18.788953
L16,7.543709,1.614202,-17.681038
L23,1.913902,-16.385798,-12.737332
L26,-9.086099,-24.460505,2.373080
L21,-10.686099,-14.339778,-0.426920
L19,-12.734912,-8.336984,-5.706015
L13,-8.686099,2.013470,-3.226920
L31,-14.104399,9.681345,-8.950002
L10,-3.571022,6.672593,-10.026919
L9,-0.886098,13.218283,-13.870194
L18,1.687156,-4.185798,-12.026920
L20,-4.486099,-8.288989,-4.603836
L29,-5.611459,-8.111158,4.736629
L28,-4.486099,-0.240876,3.173080
L17,-0.808916,2.355194,-2.380717
L8,3.609118,12.211466,-1.426114
L15,5.592103,-1.944793,1.532075
L22,-0.348244,-12.585798,5.973081
