landmark_id,x,y,z
B1,-16.622405,45.896814,6.975050
B2,-3.916900,40.167980,-0.725960
B3,4.647523,34.115875,-9.419183
B4,20.448761,27.567978,-13.796395
B5,23.048761,13.375495,-10.386221
B6,19.880660,-1.196920,-5.008314
B7,14.985651,-20.432022,2.274039
B8,9.848762,-44.432022,12.127580
B9,-0.456561,-38.232020,22.074040
B10,-16.111930,-30.817476,31.003307
B11,-26.351238,-23.352590,41.674038
B12,-25.085080,2.173656,25.475595
B13,-22.442010,17.956817,17.682561
B14,-18.100724,37.104967,10.533536
L7,8.648762,10.967978,-7.213631
L4,4.744233,19.472508,-11.851533
L2,-4.362125,25.567978,-13.828533
L6,-16.525732,19.814055,-7.254316
L16,-22.147781,8.428193,1.666142
L23,-20.951239,-11.564260,6.674039
L26,-5.351238,-26.029848,15.474039
L21,0.848762,-17.888624,8.403840
L19,0.975910,-11.632021,4.874040
L13,3.352165,-7.032021,3.055546
L31,2.720518,6.769767,-3.331698
L10,-4.624815,8.384060,-2.337082
L9,-5.734346,17.951088,-7.860243
L18,-13.590102,-3.665850,0.008730
L20,-6.313323,-10.368451,4.674039
L29,5.226490,-11.691693,15.625523
L28,6.340361,-6.776257,9.466159
L17,-1.596990,1.767979,6.874040
L8,-6.089456,13.627392,5.333452
L15,-12.193378,6.167979,11.949786
L22,-14.210253,-7.527606,13.978455
