landmark_id,x,y,z
B1,31.656890,43.320770,-13.921716
B2,18.159077,41.163072,-23.952349
B3,3.716812,40.763693,-28.610641
B4,-11.082902,41.161640,-31.253082
B5,-13.725945,24.395150,-18.985031
B6,-16.413363,7.115044,-7.040884
B7,-18.174052,-9.529511,1.959876
B8,-20.722016,-23.509687,11.047653
B9,-5.001219,-22.238363,17.488790
B10,8.674783,-18.847741,25.647654
B11,27.917100,-17.838364,31.162485
B12,31.245003,0.350511,18.447653
B13,33.881402,16.146706,5.767978
B14,34.994211,31.382972,-4.294875
L7,-6.241459,25.226457,-22.669577
L4,0.591250,26.561640,-32.152350
L2,10.996306,27.516537,-36.725226
L6,25.054075,18.761639,-33.352350
L16,28.317100,8.819999,-23.483597
L23,14.917100,-13.941121,1.047652
L26,-4.654379,-15.805532,11.047653
L21,-2.271783,-4.227180,3.353269
L19,-3.833037,1.537400,-6.752348
L13,-0.971585,12.161639,-6.152348
L31,0.703144,13.803643,-16.646718
L10,11.281176,12.316003,-20.552350
L9,19.317653,17.962119,-25.242108
L18,15.394197,-2.937306,-10.251292
L20,8.717099,-3.404385,-6.096785
L29,-2.921862,5.522678,7.400784
L28,-0.486813,13.084690,-1.669026
L17,9.095747,13.076391,-3.352348
L8,10.228062,26.001571,-15.647974
L15,16.619017,14.988577,-2.345299
L22,4.029587,2.533741,12.810940
