landmark_id,x,y,z
B1,28.488070,45.683781,-30.832338
B2,13.992304,47.058624,-30.776856
B3,-5.766876,45.135894,-25.424634
B4,-16.247210,42.349121,-18.626163
B5,-15.047388,28.741268,-13.363471
B6,-13.647096,13.259863,-8.773851
B7,-11.142993,-1.591310,-2.873857
B8,-9.470714,-15.054479,3.029118
B9,1.552021,-16.227888,3.095574
B10,22.845989,-9.171184,7.592532
B11,39.793526,-7.518721,5.991667
B12,37.793526,4.005766,-1.104426
B13,34.278410,18.329759,-12.367654
B14,30.876753,32.281277,-20.904425
L7,-7.204820,34.482698,-20.706009
L4,-4.495043,39.272279,-28.584082
L2,2.040390,40.582966,-35.104424
L6,17.116255,29.165530,-35.387257
L16,21.712784,15.111286,-28.440560
L23,16.745053,0.287244,-20.968466
L26,2.009717,-12.907993,-0.140355
L21,3.758788,6.494465,-6.008360
L19,0.606243,11.789303,-11.229312
L13,4.993526,22.881279,-15.075617
L31,-1.778818,27.572422,-19.489147
L10,8.981237,24.450836,-23.504425
L9,8.876950,29.395273,-28.955964
L18,13.125508,9.878684,-22.307021
L20,6.918056,7.681279,-14.704426
L29,7.306874,14.281279,-3.304426
L28,6.375295,22.681278,-9.104425
L17,13.193525,17.304447,-8.104426
L8,15.363781,32.251532,-22.797813
L15,20.955574,19.681278,-14.704426
L22,17.141598,8.281280,-5.304426
