landmark_id,x,y,z
B1,-8.057175,31.110554,-9.313970
B2,6.701739,29.003717,-10.235012
B3,18.185851,18.488550,-4.846248
B4,26.660836,8.316526,0.984826
B5,21.804480,-3.474474,5.087671
B6,15.825940,-16.883474,8.757839
B7,7.999559,-32.283474,13.168843
B8,1.988928,-45.683475,18.342834
B9,-13.611073,-37.883476,18.723621
B10,-27.925519,-30.797920,17.744911
B11,-44.411076,-22.686356,18.020056
B12,-34.811073,-7.962527,9.220057
B13,-26.411074,6.716526,1.472314
B14,-15.623806,23.829061,-5.652613
L7,14.063983,8.885922,-2.549339
L4,12.077535,15.155598,-12.379945
L2,6.547961,18.116528,-16.579945
L6,-7.166952,12.981723,-19.823528
L16,-15.321620,5.916526,-15.579945
L23,-16.411074,-19.283474,-1.132752
L26,-3.011072,-33.283474,13.941980
L21,-0.211072,-18.683475,9.924964
L19,4.291541,-12.441600,3.062389
L13,2.509869,-1.722132,3.620056
L31,4.289583,2.220321,0.420056
L10,-3.124305,3.316526,-4.579944
L9,-4.846692,9.880908,-12.085617
L18,-9.948950,-7.325772,-8.001692
L20,-3.904383,-11.283475,2.420056
L29,1.388928,-11.083474,14.344837
L28,2.565827,-3.566661,7.820056
L17,-6.327555,-0.362581,4.289388
L8,2.087052,15.881129,-3.779944
L15,-14.442805,7.112441,0.527151
L22,-16.086648,-9.356608,6.020056
