landmark_id,x,y,z
B1,25.223503,55.924854,-11.666575
B2,10.023504,52.490582,-16.172747
B3,-5.976496,48.445972,-16.491070
B4,-21.976496,44.992203,-12.491069
B5,-18.930512,29.913950,-10.245013
B6,-13.376495,9.924856,-5.999529
B7,-8.176496,-10.075143,-1.634935
B8,-3.776496,-27.675142,4.277546
B9,11.282399,-23.800482,8.559632
B10,28.132122,-18.614274,7.287195
B11,42.308768,-15.589878,7.651645
B12,37.657704,2.161408,0.840256
B13,32.023502,23.794246,-5.064481
B14,28.612365,42.313718,-9.163048
L7,-9.100159,36.490944,-14.217235
L4,-2.942970,40.530020,-22.494045
L2,4.357374,44.399863,-25.303045
L6,23.023504,31.924854,-22.388823
L16,25.345593,15.124856,-16.732210
L23,21.423504,-6.487158,-9.847288
L26,5.971240,-23.773222,3.856666
L21,2.823504,-1.923909,-0.575269
L19,0.161997,4.069148,-6.734835
L13,1.781454,14.607548,-3.225733
L31,-0.044042,26.467242,-12.091069
L10,5.624365,27.442099,-10.890628
L9,13.223504,32.724857,-20.394590
L18,14.534441,13.524857,-16.291069
L20,9.223504,2.724857,-8.119756
L29,1.775344,5.876697,6.998032
L28,3.677741,14.484860,2.620546
L17,9.717247,11.724856,2.427206
L8,10.472585,36.555086,-12.030413
L15,21.023625,15.124856,-6.119574
L22,20.423504,2.524857,-2.418889
