landmark_id,x,y,z
B1,40.736008,39.264820,-4.617670
B2,30.225479,36.420498,-11.179637
B3,17.640474,34.864822,-18.095270
B4,-3.559526,33.025411,-25.741274
B5,-7.159526,19.426150,-17.017670
B6,-9.647873,3.376475,-9.009097
B7,-12.456216,-15.698405,0.685641
B8,-16.759525,-31.888390,13.648891
B9,-2.559526,-29.535180,20.912506
B10,11.240474,-27.746860,28.382330
B11,28.169624,-25.735178,35.782330
B12,32.240475,-6.735178,23.684479
B13,36.650727,10.652360,12.183163
B14,40.116312,31.561702,0.258168
L7,3.254390,20.441847,-17.935148
L4,11.903544,24.727892,-24.114671
L2,22.040474,25.264822,-24.916890
L6,30.817061,16.666438,-18.340503
L16,29.481112,0.696238,-9.700271
L23,16.514882,-20.535180,-4.023625
L26,-5.931627,-21.467794,7.261195
L21,-0.094472,-11.543390,-1.007570
L19,3.317861,-2.478664,-5.422224
L13,5.840474,6.736365,-3.548900
L31,6.640474,12.595639,-11.321632
L10,13.967989,12.264822,-8.817670
L9,22.922213,15.864821,-15.617670
L18,19.440474,-1.135178,-10.952985
L20,10.486031,-4.798656,-5.217670
L29,-0.023254,-1.682996,5.782033
L28,6.887203,6.358651,1.135602
L17,13.092967,6.535844,0.521623
L8,14.911060,24.486134,-10.568557
L15,20.871655,9.290475,3.582330
L22,4.640474,-8.823484,10.982330
