landmark_id,x,y,z
B1,-24.208383,42.075093,4.358157
B2,-8.392222,45.298238,-5.451093
B3,6.763577,45.735551,-11.870508
B4,20.927938,43.645939,-14.622773
B5,22.435545,28.754463,-12.251093
B6,23.717656,11.228675,-10.698840
B7,24.394145,-7.620270,-8.354279
B8,25.581361,-23.154062,-5.312835
B9,11.543469,-24.001177,0.940531
B10,-6.035263,-22.832727,14.775660
B11,-17.872063,-22.954063,19.218048
B12,-20.895350,-3.930776,14.834407
B13,-22.710262,13.667211,9.196259
B14,-23.272062,34.645939,6.430926
L7,6.060963,31.214756,-14.148789
L4,-1.003516,37.936260,-23.051094
L2,-8.074978,37.845940,-25.917014
L6,-19.672064,29.877729,-22.493967
L16,-21.072063,12.845938,-14.273042
L23,-15.569967,-5.656159,-10.174669
L26,3.924296,-22.555826,5.152549
L21,3.332100,-4.954063,-1.451093
L19,3.238813,3.335062,-6.372020
L13,-2.294061,16.045937,-2.546644
L31,2.834639,26.323844,-14.112531
L10,-9.407926,20.690800,-7.841688
L9,-11.072062,25.245937,-14.493354
L18,-14.272063,6.142837,-9.251093
L20,-6.760869,0.245937,-5.251093
L29,-0.871363,0.614842,5.148907
L28,-2.272063,11.821950,2.838802
L17,-12.102057,15.797853,2.576155
L8,-15.318038,23.715185,0.965255
L15,-16.674607,9.045938,4.945961
L22,-8.099926,-4.253087,6.321044
