landmark_id,x,y,z
B1,14.088026,62.739622,-10.597267
B2,1.544272,53.271444,-13.633263
B3,-9.055729,44.717800,-15.377971
B4,-24.527055,34.117798,-15.845644
B5,-17.970289,18.147530,-11.550327
B6,-8.737008,4.317799,-1.858308
B7,1.744272,-9.682201,1.270870
B8,14.744272,-29.482200,7.424141
B9,26.144272,-21.316823,7.437011
B10,38.144270,-10.682201,11.456038
B11,55.344273,1.517799,13.380087
B12,45.544273,16.717800,8.507540
B13,34.144270,32.517800,0.711019
B14,23.944271,48.651566,-6.450529
L7,-9.518320,18.821868,-8.640517
L4,-8.994696,26.207395,-15.450529
L2,-0.767185,35.436865,-20.496204
L6,12.501932,33.987996,-20.903127
L16,23.930210,25.073404,-16.518725
L23,30.428698,2.941164,-5.919229
L26,27.544271,-12.583898,5.549471
L21,15.809294,-0.247124,2.659935
L19,10.036370,2.511597,-3.907169
L13,6.603720,13.103434,-1.570483
L31,1.035457,15.745394,-5.960979
L10,6.041357,21.184374,-8.753444
L9,11.278791,29.317799,-16.177195
L18,18.581338,14.833051,-14.353521
L20,16.546405,6.317799,-5.562981
L29,12.690503,4.464031,7.107011
L28,7.144272,12.117799,2.266695
L17,11.908014,18.517800,-2.022885
L8,-0.152487,29.836359,-6.947288
L15,18.921814,25.204024,-3.813722
L22,25.653257,9.717799,3.149471
