landmark_id,x,y,z
B1,-45.290357,25.273107,-4.150068
B2,-27.679267,31.934843,-5.616559
B3,-14.001997,32.605206,-7.409939
B4,0.412790,24.352130,-4.902545
B5,4.956552,11.752130,4.319801
B6,5.360616,-5.247870,7.176071
B7,5.560615,-22.447870,11.338767
B8,5.760616,-43.047870,18.286179
B9,-7.803833,-43.391928,17.135768
B10,-24.992926,-43.267425,18.902868
B11,-46.639233,-41.925860,25.620432
B12,-47.000673,-17.286584,14.881324
B13,-47.107737,-1.579520,5.338227
B14,-47.239388,19.594745,-1.525565
L7,-4.649907,16.152130,-2.379569
L4,-7.927464,20.352130,-9.792507
L2,-15.719684,22.437310,-15.979569
L6,-25.715253,12.552131,-18.304039
L16,-29.893018,-3.178460,-11.651032
L23,-23.239386,-18.646538,-1.622744
L26,-12.439384,-29.272688,11.020431
L21,-8.502547,-14.184708,8.711313
L19,-8.312914,-7.974341,3.548482
L13,-7.800152,-1.543465,4.443385
L31,-10.707881,8.069245,-0.503812
L10,-15.749302,7.949611,-2.398430
L9,-15.933803,15.696213,-7.186497
L18,-22.532334,-4.809646,-7.341345
L20,-14.574932,-10.447870,1.820431
L29,-13.551085,-8.332473,13.735377
L28,-9.223480,-1.092170,15.420432
L17,-18.239386,1.752130,3.844943
L8,-18.639385,14.965348,-0.051080
L15,-28.716656,3.152130,-0.379569
L22,-25.617863,-12.711960,4.797496
