landmark_id,x,y,z
B1,-51.157046,40.848131,-2.303247
B2,-39.271083,41.009376,-8.348865
B3,-19.990201,41.921979,-13.095309
B4,-0.421077,44.093259,-13.250947
B5,1.149151,25.982626,-10.162930
B6,3.136972,9.811695,-7.350944
B7,5.008359,-10.076583,-4.655199
B8,7.349151,-33.217377,0.510489
B9,-6.850850,-32.817375,8.118503
B10,-23.646422,-33.459885,15.546618
B11,-41.378420,-34.217377,23.218552
B12,-44.125096,-13.782386,17.475769
B13,-47.850853,5.982625,6.310959
B14,-50.147120,25.382626,0.818552
L7,-16.417470,26.299346,-13.328711
L4,-21.601385,30.717367,-19.781450
L2,-28.050850,30.969772,-23.181450
L6,-39.035300,20.782625,-23.981450
L16,-38.916094,2.033715,-18.676835
L23,-29.767651,-15.780998,-11.181449
L26,-8.850850,-23.760809,0.218552
L21,-14.000206,-6.217091,0.569603
L19,-14.050850,1.218148,-4.781449
L13,-15.057256,7.312279,-4.920944
L31,-18.261235,14.050009,-6.511398
L10,-27.975917,10.453286,-6.181449
L9,-29.839470,16.765152,-14.117870
L18,-28.685031,0.598227,-13.279304
L20,-21.850851,-3.641691,-6.581449
L29,-14.183466,2.611214,7.214719
L28,-12.950428,7.031012,8.154061
L17,-19.249354,5.185958,5.151762
L8,-29.798288,18.942249,-5.981449
L15,-35.306353,7.582625,-0.757070
L22,-17.014692,-11.417376,6.327507
