landmark_id,x,y,z
B1,32.437145,43.502743,-0.876262
B2,17.603035,45.721821,-8.743138
B3,-0.796966,48.121822,-13.228746
B4,-16.313234,34.999115,-12.120951
B5,-17.486182,26.411036,-10.179865
B6,-16.196966,11.921821,-10.356500
B7,-16.291877,-2.527965,-7.222259
B8,-15.596967,-17.878180,-3.162615
B9,-1.842240,-20.582758,1.215098
B10,15.044841,-15.380488,14.094034
B11,27.403034,-14.066815,18.263106
B12,29.593019,3.320841,9.813267
B13,32.403034,20.521822,3.968672
B14,31.603035,37.721821,-0.511113
L7,-5.556247,30.578167,-14.725899
L4,-0.733896,38.925502,-21.643658
L2,9.203034,41.667587,-27.043659
L6,23.814265,32.521820,-26.522103
L16,30.249529,8.852197,-19.734008
L23,20.997292,-7.233480,-12.927547
L26,7.036392,-12.496981,1.905010
L21,4.220984,-0.342901,-3.101092
L19,4.309897,6.373429,-9.008404
L13,8.803034,20.921822,-9.936675
L31,-0.090711,28.050754,-17.043657
L10,14.443018,28.134964,-21.181667
L9,24.149189,8.121820,-15.843657
L18,15.124513,5.314937,-10.043657
L20,5.159820,0.165035,-2.541572
L29,10.377365,5.030241,1.356343
L28,9.794421,17.005228,-1.043657
L17,17.064385,20.031593,-6.643658
L8,17.203035,30.702684,-9.047414
L15,22.167571,17.995156,-1.370323
L22,18.214062,3.771837,1.797709
