landmark_id,x,y,z
B1,-14.608343,65.769164,-17.585704
B2,-1.831291,60.020520,-23.664364
B3,17.487915,51.594311,-30.044762
B4,29.766510,47.394310,-30.416117
B5,24.366510,27.594311,-21.496304
B6,21.366510,15.994310,-16.029091
B7,16.416933,-0.060298,-11.699329
B8,10.166510,-20.153139,-3.123183
B9,-0.433490,-17.007168,1.676817
B10,-21.726448,-6.805690,10.676817
B11,-32.345760,-1.821892,13.757848
B12,-28.026489,16.968105,4.385864
B13,-24.789627,31.219586,-3.723183
B14,-17.800146,52.946241,-11.948928
L7,21.421223,34.919499,-26.236673
L4,14.794684,40.594311,-33.523186
L2,7.264738,46.222118,-35.378587
L6,-9.540213,42.535842,-29.496712
L16,-17.583307,26.994310,-19.123184
L23,-18.633492,6.049546,-9.079680
L26,-2.433490,-13.882277,1.276817
L21,3.666974,5.994310,-3.723183
L19,5.621613,10.794311,-11.523183
L13,6.277655,22.738617,-11.139317
L31,11.701764,28.994310,-21.523184
L10,1.761144,30.594311,-20.920702
L9,-1.033490,37.574456,-26.616909
L18,-7.543026,19.825641,-17.482071
L20,-2.815375,9.994310,-10.723184
L29,1.566510,11.513695,-0.123183
L28,3.366510,22.313354,-4.523183
L17,-5.433490,20.543016,-2.923183
L8,-4.233490,37.797866,-14.148382
L15,-11.233491,22.794312,-4.074819
L22,-9.265278,11.394310,0.076817
