sample_id,side,region_id,region_name,sample_point_count,expected_point_count,remesh_face_count,raw_unmapped_count,raw_status,salvaged_unmapped_count,repair_count,repair_applied,salvage_attempted,salvage_accepted,salvage_rejection_reason,flipped_faces,degenerate_faces,patch_face_count,mesh_exported,mesh_path,status
T049,L,T001,test,325,325,576,2,WARNING,0,2,True,False,False,,0,0,5841,True,output\remesh_r24\salvaged\T049_L\T001_remesh_salvaged.ply,PASS
T049,L,T002,test,325,325,576,3,WARNING,0,3,True,False,False,,18906,0,18906,True,output\remesh_r24\salvaged\T049_L\T002_remesh_salvaged.ply,PASS
T049,L,T003,test,325,325,576,90,FAIL,0,90,True,True,True,,0,0,505,True,output\remesh_r24\salvaged\T049_L\T003_remesh_salvaged.ply,PASS
T049,L,T004,test,325,325,576,0,PASS,0,0,False,False,False,,24959,0,24959,True,output\remesh_r24\salvaged\T049_L\T004_remesh_salvaged.ply,PASS
T049,L,T005,test,325,325,576,1,WARNING,0,1,True,False,False,,0,0,9470,True,output\remesh_r24\salvaged\T049_L\T005_remesh_salvaged.ply,PASS
T049,L,T006,test,325,325,576,9,WARNING,0,9,True,False,False,,2295,0,2295,True,output\remesh_r24\salvaged\T049_L\T006_remesh_salvaged.ply,PASS
T049,L,T007,test,325,325,576,0,PASS,0,0,False,False,False,,0,0,2407,True,output\remesh_r24\salvaged\T049_L\T007_remesh_salvaged.ply,PASS
T049,L,T008,test,325,325,576,0,PASS,0,0,False,False,False,,0,0,8902,True,output\remesh_r24\salvaged\T049_L\T008_remesh_salvaged.ply,PASS
T049,L,T009,test,325,325,576,0,PASS,0,0,False,False,False,,24830,0,24830,True,output\remesh_r24\salvaged\T049_L\T009_remesh_salvaged.ply,PASS
T049,L,T010,test,325,325,576,8,WARNING,0,8,True,False,False,,0,0,1725,True,output\remesh_r24\salvaged\T049_L\T010_remesh_salvaged.ply,PASS
T049,L,T011,test,325,325,576,16,WARNING,0,16,True,False,False,,4802,0,4802,True,output\remesh_r24\salvaged\T049_L\T011_remesh_salvaged.ply,PASS
T049,L,T012,test,325,325,576,2,WARNING,0,2,True,False,False,,0,0,2035,True,output\remesh_r24\salvaged\T049_L\T012_remesh_salvaged.ply,PASS
T049,L,T013,test,325,325,576,0,PASS,0,0,False,False,False,,3077,0,3077,True,output\remesh_r24\salvaged\T049_L\T013_remesh_salvaged.ply,PASS
T049,L,T014,test,325,325,576,9,WARNING,0,9,True,False,False,,0,0,8694,True,output\remesh_r24\salvaged\T049_L\T014_remesh_salvaged.ply,PASS
T049,L,T015,test,325,325,576,3,WARNING,0,3,True,False,False,,4933,0,4933,True,output\remesh_r24\salvaged\T049_L\T015_remesh_salvaged.ply,PASS
