point_id,sample_id,side,region_id,region_name,region_point_id,lambda_a,lambda_b,lambda_c,u,v,source_face_index,is_unmapped,x,y,z
T013_L_P00000,T013,L,T001,test,0,1.0,0.0,0.0,0.0,0.0,-1,True,,,
T013_L_P00001,T013,L,T001,test,1,0.875,0.0,0.125,0.0,0.125,1734,False,-18.456549655172573,39.80434081199852,-34.27210235595703
T013_L_P00002,T013,L,T001,test,2,0.75,0.0,0.25,0.0,0.25,726,False,-15.487819256311528,38.01387268496143,-33.59719905188388
T013_L_P00003,T013,L,T001,test,3,0.625,0.0,0.375,0.0,0.375,597,False,-13.673252366939991,35.72467299154381,-31.94486721636051
T013_L_P00004,T013,L,T001,test,4,0.5,0.0,0.5,0.0,0.5,79,False,-12.501660346984863,33.85629915319825,-29.237310094436083
T013_L_P00005,T013,L,T001,test,5,0.375,0.0,0.625,0.0,0.625,7304,False,-11.728437679256418,32.3385230700471,-26.131482603253183
T013_L_P00006,T013,L,T001,test,6,0.25,0.0,0.75,0.0,0.75,4992,False,-10.70166015625,30.389451762207138,-23.493005038240025
T013_L_P00007,T013,L,T001,test,7,0.125,0.0,0.875,0.0,0.875,7601,False,-10.706548387487848,28.27184992365773,-20.518666096994863
T013_L_P00008,T013,L,T001,test,8,0.0,0.0,1.0,0.0,1.0,-1,True,,,
T013_L_P00009,T013,L,T001,test,9,0.875,0.125,0.0,0.125,0.0,1697,False,-19.695597112359636,40.22771453857422,-34.16578063906885
T013_L_P00010,T013,L,T001,test,10,0.75,0.125,0.125,0.125,0.125,1919,False,-16.35035078355012,39.257505364471854,-33.73372111578067
T013_L_P00011,T013,L,T001,test,11,0.625,0.125,0.25,0.125,0.25,1010,False,-13.681557874976692,37.594100508232046,-32.5085594519564
T013_L_P00012,T013,L,T001,test,12,0.5,0.125,0.375,0.125,0.375,252,False,-12.094281693310263,35.228455537520524,-30.498460043243668
T013_L_P00013,T013,L,T001,test,13,0.375,0.125,0.5,0.125,0.5,3378,False,-10.87541809570919,33.211944922079915,-27.894622506511926
T013_L_P00014,T013,L,T001,test,14,0.25,0.125,0.625,0.125,0.625,4932,False,-10.269471199309383,31.201381331433907,-25.018192880368098
T013_L_P00015,T013,L,T001,test,15,0.125,0.125,0.75,0.125,0.75,7427,False,-10.200689421457978,29.13673127598708,-22.338632877078577
T013_L_P00016,T013,L,T001,test,16,0.0,0.125,0.875,0.125,0.875,5091,False,-10.445487726020621,27.18756039379555,-19.39032146098811
T013_L_P00017,T013,L,T001,test,17,0.75,0.25,0.0,0.25,0.0,1769,False,-17.414392227853494,40.22771453857422,-33.496547181096105
T013_L_P00018,T013,L,T001,test,18,0.625,0.25,0.125,0.25,0.125,1627,False,-14.391517127184848,39.05549036813751,-32.62529748949495
T013_L_P00019,T013,L,T001,test,19,0.5,0.25,0.25,0.25,0.25,663,False,-11.985837764896196,37.156598755422976,-31.11996505740742
T013_L_P00020,T013,L,T001,test,20,0.375,0.25,0.375,0.25,0.375,2908,False,-10.450733161907738,34.62575260922368,-28.89989562079186
T013_L_P00021,T013,L,T001,test,21,0.25,0.25,0.5,0.25,0.5,3469,False,-9.646574350199563,32.498715249917154,-26.312114661539667
T013_L_P00022,T013,L,T001,test,22,0.125,0.25,0.625,0.25,0.625,4370,False,-9.384416932257057,30.236546340587108,-23.85292726338402
T013_L_P00023,T013,L,T001,test,23,0.0,0.25,0.75,0.25,0.75,5081,False,-9.501659393310547,27.994204286963726,-21.118271046276156
T013_L_P00024,T013,L,T001,test,24,0.625,0.375,0.0,0.375,0.0,1975,False,-15.300555336130811,40.22771453857422,-32.4182913432893
T013_L_P00025,T013,L,T001,test,25,0.5,0.375,0.125,0.375,0.125,1154,False,-12.385322224630116,38.79464666880854,-31.268409005331602
T013_L_P00026,T013,L,T001,test,26,0.375,0.375,0.25,0.375,0.25,1350,False,-10.368729300955227,36.43893541764836,-29.495701213049607
T013_L_P00027,T013,L,T001,test,27,0.25,0.375,0.375,0.375,0.375,5902,False,-9.095686463970196,34.08064529352423,-27.171917641097387
T013_L_P00028,T013,L,T001,test,28,0.125,0.375,0.5,0.375,0.5,4445,False,-8.564157094643974,31.787744474977956,-24.924933572703875
T013_L_P00029,T013,L,T001,test,29,0.0,0.375,0.625,0.375,0.625,4127,False,-8.81154746790918,29.26640279356148,-22.669685238679353
T013_L_P00030,T013,L,T001,test,30,0.5,0.5,0.0,0.5,0.0,2617,False,-13.3817194254173,40.22771453857422,-31.0294762152375
T013_L_P00031,T013,L,T001,test,31,0.375,0.5,0.125,0.5,0.125,1441,False,-10.806310075793625,38.55092735353581,-29.667473638041738
T013_L_P00032,T013,L,T001,test,32,0.25,0.5,0.25,0.5,0.25,6079,False,-8.916550673160234,35.861749323381254,-27.659346537456408
T013_L_P00033,T013,L,T001,test,33,0.125,0.5,0.375,0.5,0.375,3609,False,-7.961542619282567,33.563481235052706,-25.695247404162156
T013_L_P00034,T013,L,T001,test,34,0.0,0.5,0.5,0.5,0.5,4092,False,-7.985308865028632,30.91975631668749,-23.70788015837028
T013_L_P00035,T013,L,T001,test,35,0.375,0.625,0.0,0.625,0.0,2683,False,-11.651194555517339,40.10653270328028,-29.44440268625438
T013_L_P00036,T013,L,T001,test,36,0.25,0.625,0.125,0.625,0.125,5585,False,-9.302771103469055,38.069103258060636,-27.992729482527647
T013_L_P00037,T013,L,T001,test,37,0.125,0.625,0.25,0.625,0.25,7182,False,-7.677611561879534,35.38304382117079,-26.054570823174696
T013_L_P00038,T013,L,T001,test,38,0.0,0.625,0.375,0.625,0.375,3992,False,-6.86467793966508,32.805710068056015,-23.872102737426758
T013_L_P00039,T013,L,T001,test,39,0.25,0.75,0.0,0.75,0.0,5480,False,-10.11151216283205,40.027713775634766,-27.666962968928654
T013_L_P00040,T013,L,T001,test,40,0.125,0.75,0.125,0.75,0.125,6729,False,-7.7551428576547625,37.64091238869917,-26.339238880429264
T013_L_P00041,T013,L,T001,test,41,0.0,0.75,0.25,0.75,0.25,6977,False,-6.501659870147705,34.84076283307555,-24.42205197802101
T013_L_P00042,T013,L,T001,test,42,0.125,0.875,0.0,0.875,0.0,6294,False,-8.5280361808993,39.82771301269531,-25.973999965038363
T013_L_P00043,T013,L,T001,test,43,0.0,0.875,0.125,0.875,0.125,6404,False,-6.501659870147705,37.01791669997053,-24.806533752522594
T013_L_P00044,T013,L,T001,test,44,0.0,1.0,0.0,1.0,0.0,6324,False,-6.6392621994018555,39.1970100402832,-24.74959945678711
T013_L_P00045,T013,L,T002,test,0,1.0,0.0,0.0,0.0,0.0,669,False,-22.0679931640625,40.22771453857422,-34.27210235595703
T013_L_P00046,T013,L,T002,test,1,0.875,0.0,0.125,0.0,0.125,5092,False,-18.456549655172573,39.80434081199852,-34.27210235595703
T013_L_P00047,T013,L,T002,test,2,0.75,0.0,0.25,0.0,0.25,3596,False,-15.487819256311528,38.01387268496143,-33.597199051883884
T013_L_P00048,T013,L,T002,test,3,0.625,0.0,0.375,0.0,0.375,4494,False,-13.673252366939991,35.72467299154381,-31.944867216360514
T013_L_P00049,T013,L,T002,test,4,0.5,0.0,0.5,0.0,0.5,4389,False,-12.501660346984863,33.85629915319825,-29.237310094436083
T013_L_P00050,T013,L,T002,test,5,0.375,0.0,0.625,0.0,0.625,18787,False,-11.728437679256418,32.3385230700471,-26.131482603253183
T013_L_P00051,T013,L,T002,test,6,0.25,0.0,0.75,0.0,0.75,11481,False,-10.70166015625,30.389451762207138,-23.493005038240025
T013_L_P00052,T013,L,T002,test,7,0.125,0.0,0.875,0.0,0.875,19417,False,-10.706548387487848,28.27184992365773,-20.518666096994863
T013_L_P00053,T013,L,T002,test,8,0.0,0.0,1.0,0.0,1.0,19677,False,-10.679272651672363,26.227712631225586,-17.472103118896484
T013_L_P00054,T013,L,T002,test,9,0.875,0.125,0.0,0.125,0.0,914,False,-21.501659393310547,36.87386634848973,-36.34617869213876
T013_L_P00055,T013,L,T002,test,10,0.75,0.125,0.125,0.125,0.125,1215,False,-17.949611003667677,35.460773220751086,-34.8284029676462
T013_L_P00056,T013,L,T002,test,11,0.625,0.125,0.25,0.125,0.25,3209,False,-16.332111277578715,34.74692752430251,-31.758212674111018
T013_L_P00057,T013,L,T002,test,12,0.5,0.125,0.375,0.125,0.375,7015,False,-14.804168541447824,35.067938815959835,-28.498765288127547
T013_L_P00058,T013,L,T002,test,13,0.375,0.125,0.5,0.125,0.5,11030,False,-12.57161869990947,35.06101249358671,-25.31189173141717
T013_L_P00059,T013,L,T002,test,14,0.25,0.125,0.625,0.125,0.625,28563,False,-10.390331321298415,33.00157358480959,-21.30186539394699
T013_L_P00060,T013,L,T002,test,15,0.125,0.125,0.75,0.125,0.75,26264,False,-11.32360636879534,29.416255828169703,-18.531958289342324
T013_L_P00061,T013,L,T002,test,16,0.0,0.125,0.875,0.125,0.875,20242,False,-12.116761694110773,26.62771224975586,-16.79941647320641
T013_L_P00062,T013,L,T002,test,17,0.75,0.25,0.0,0.25,0.0,10,False,-20.90489753689474,34.30095662907269,-34.5076706371674
T013_L_P00063,T013,L,T002,test,18,0.625,0.25,0.125,0.25,0.125,2319,False,-18.851772786220064,36.17642283731599,-32.01493561497833
T013_L_P00064,T013,L,T002,test,19,0.5,0.25,0.25,0.25,0.25,6900,False,-16.54452135725026,37.298130622694636,-28.653723001670688
T013_L_P00065,T013,L,T002,test,20,0.375,0.25,0.375,0.25,0.375,10674,False,-14.386634130430576,37.99874256317719,-24.676719806654177
T013_L_P00066,T013,L,T002,test,21,0.25,0.25,0.5,0.25,0.5,21335,False,-11.09153801066761,36.018646850861636,-18.27238593030359
T013_L_P00067,T013,L,T002,test,22,0.125,0.25,0.625,0.25,0.625,26333,False,-12.328879986925775,30.133277040897802,-16.61777339595227
T013_L_P00068,T013,L,T002,test,23,0.0,0.25,0.75,0.25,0.75,20257,False,-13.087452022226891,27.118750856290422,-15.69027091356844
T013_L_P00069,T013,L,T002,test,24,0.625,0.375,0.0,0.375,0.0,27619,False,-21.732087200252337,36.43837092586182,-31.22401962636221
T013_L_P00070,T013,L,T002,test,25,0.5,0.375,0.125,0.375,0.125,9179,False,-19.291966245367842,36.28979697227636,-27.94130613468564
T013_L_P00071,T013,L,T002,test,26,0.375,0.375,0.25,0.375,0.25,9877,False,-17.307214151422514,36.11037155424057,-23.990556205751872
T013_L_P00072,T013,L,T002,test,27,0.25,0.375,0.375,0.375,0.375,24584,False,-15.953681540599295,34.715028527716754,-18.209383361827722
T013_L_P00073,T013,L,T002,test,28,0.125,0.375,0.5,0.375,0.5,22743,False,-14.132293230463269,29.89990572800995,-17.47177181637419
T013_L_P00074,T013,L,T002,test,29,0.0,0.375,0.625,0.375,0.625,23966,False,-14.154017380435764,27.504959693590617,-15.196501035600226
T013_L_P00075,T013,L,T002,test,30,0.5,0.5,0.0,0.5,0.0,11543,False,-21.501659393310547,34.6343463704419,-27.69172634471687
T013_L_P00076,T013,L,T002,test,31,0.375,0.5,0.125,0.5,0.125,11928,False,-19.617225236279484,33.7925487657183,-24.432905491228915
T013_L_P00077,T013,L,T002,test,32,0.25,0.5,0.25,0.5,0.25,13995,False,-19.159290005247655,32.64185181574801,-18.839903794283813
T013_L_P00078,T013,L,T002,test,33,0.125,0.5,0.375,0.5,0.375,25265,False,-15.909872568546323,28.79693218401694,-17.836285063470424
T013_L_P00079,T013,L,T002,test,34,0.0,0.5,0.5,0.5,0.5,26708,False,-14.830048023458358,26.190187643382416,-15.920591868448733
T013_L_P00080,T013,L,T002,test,35,0.375,0.625,0.0,0.625,0.0,8718,False,-21.122847196171662,31.509927216303645,-25.11698564150961
T013_L_P00081,T013,L,T002,test,36,0.25,0.625,0.125,0.625,0.125,8592,False,-20.18531313877137,30.144052221401033,-20.761341906107315
T013_L_P00082,T013,L,T002,test,37,0.125,0.625,0.25,0.625,0.25,25568,False,-17.315418771175864,27.51642653996356,-18.504964238538044
T013_L_P00083,T013,L,T002,test,38,0.0,0.625,0.375,0.625,0.375,26695,False,-15.52384345792693,24.99872423741425,-16.760271961427275
T013_L_P00084,T013,L,T002,test,39,0.25,0.75,0.0,0.75,0.0,8192,False,-20.709138611646026,28.443582750976084,-22.477324056616762
T013_L_P00085,T013,L,T002,test,40,0.125,0.75,0.125,0.75,0.125,20869,False,-18.260413548979326,26.42774786036847,-19.848138888235304
T013_L_P00086,T013,L,T002,test,41,0.0,0.75,0.25,0.75,0.25,26831,False,-16.318262365006618,24.09528303109316,-17.907556553109156
T013_L_P00087,T013,L,T002,test,42,0.125,0.875,0.0,0.875,0.0,12471,False,-19.104157049310743,25.068240004627327,-21.27210235595703
T013_L_P00088,T013,L,T002,test,43,0.0,0.875,0.125,0.875,0.125,26629,False,-17.150555486828587,23.057804143306424,-18.77648117998327
T013_L_P00089,T013,L,T002,test,44,0.0,1.0,0.0,1.0,0.0,-1,True,,,
T013_L_P00090,T013,L,T003,test,0,1.0,0.0,0.0,0.0,0.0,777,False,-18.138208389282227,22.027711868286133,-19.472103118896484
T013_L_P00091,T013,L,T003,test,1,0.875,0.0,0.125,0.0,0.125,1275,False,-17.150555486828587,23.057804143306424,-18.77648117998327
T013_L_P00092,T013,L,T003,test,2,0.75,0.0,0.25,0.0,0.25,1540,False,-16.318262365006618,24.095283031093164,-17.907556553109156
T013_L_P00093,T013,L,T003,test,3,0.625,0.0,0.375,0.0,0.375,1327,False,-15.52384345792693,24.998724237414255,-16.760271961427275
T013_L_P00094,T013,L,T003,test,4,0.5,0.0,0.5,0.0,0.5,1431,False,-14.830048023458355,26.190187643382412,-15.920591868448732
T013_L_P00095,T013,L,T003,test,5,0.375,0.0,0.625,0.0,0.625,1128,False,-14.154017380435764,27.50495969359062,-15.196501035600225
T013_L_P00096,T013,L,T003,test,6,0.25,0.0,0.75,0.0,0.75,-1,True,,,
T013_L_P00097,T013,L,T003,test,7,0.125,0.0,0.875,0.0,0.875,-1,True,,,
T013_L_P00098,T013,L,T003,test,8,0.0,0.0,1.0,0.0,1.0,-1,True,,,
T013_L_P00099,T013,L,T003,test,9,0.875,0.125,0.0,0.125,0.0,665,False,-19.429288238923306,20.746416931696498,-19.27210235595703
T013_L_P00100,T013,L,T003,test,10,0.75,0.125,0.125,0.125,0.125,769,False,-18.390431432021945,21.68330492199646,-18.894953750109625
T013_L_P00101,T013,L,T003,test,11,0.625,0.125,0.25,0.125,0.25,1316,False,-17.407332571854162,22.65350783397734,-18.037141411467108
T013_L_P00102,T013,L,T003,test,12,0.5,0.125,0.375,0.125,0.375,1661,False,-16.49273697013205,23.800645008909015,-17.122980017640508
T013_L_P00103,T013,L,T003,test,13,0.375,0.125,0.5,0.125,0.5,1600,False,-15.63792253917735,24.80488779872476,-16.154588302946966
T013_L_P00104,T013,L,T003,test,14,0.25,0.125,0.625,0.125,0.625,1427,False,-14.95189696102396,26.033771373504237,-15.376993022449822
T013_L_P00105,T013,L,T003,test,15,0.125,0.125,0.75,0.125,0.75,1136,False,-14.188189581823767,27.391120070972292,-14.885182082445969
T013_L_P00106,T013,L,T003,test,16,0.0,0.125,0.875,0.125,0.875,-1,True,,,
T013_L_P00107,T013,L,T003,test,17,0.75,0.25,0.0,0.25,0.0,534,False,-20.662023300722172,19.426947675024202,-19.072101593017578
T013_L_P00108,T013,L,T003,test,18,0.625,0.25,0.125,0.25,0.125,642,False,-19.708172367485485,20.520025364045257,-18.67454935067399
T013_L_P00109,T013,L,T003,test,19,0.5,0.25,0.25,0.25,0.25,758,False,-18.611766818256573,21.48391519458481,-18.097856278386697
T013_L_P00110,T013,L,T003,test,20,0.375,0.25,0.375,0.25,0.375,1792,False,-17.679824019736053,22.4392031845516,-17.28363403433954
T013_L_P00111,T013,L,T003,test,21,0.25,0.25,0.5,0.25,0.5,1680,False,-16.696395679789354,23.622012598307588,-16.371979020243142
T013_L_P00112,T013,L,T003,test,22,0.125,0.25,0.625,0.25,0.625,1928,False,-15.957276266615205,24.729402496309767,-15.521733654647221
T013_L_P00113,T013,L,T003,test,23,0.0,0.25,0.75,0.25,0.75,1895,False,-15.208201279617276,25.990438638758405,-14.855229570955853
T013_L_P00114,T013,L,T003,test,24,0.625,0.375,0.0,0.375,0.0,390,False,-21.79403094723335,17.95773991420232,-19.072101593017578
T013_L_P00115,T013,L,T003,test,25,0.5,0.375,0.125,0.375,0.125,558,False,-20.915663540386802,19.157142228474815,-18.547665306041004
T013_L_P00116,T013,L,T003,test,26,0.375,0.375,0.25,0.375,0.25,890,False,-19.949239515612938,20.28056034140436,-18.0033412035952
T013_L_P00117,T013,L,T003,test,27,0.25,0.375,0.375,0.375,0.375,1247,False,-18.970433741143093,21.254503888894494,-17.472725579777624
T013_L_P00118,T013,L,T003,test,28,0.125,0.375,0.5,0.375,0.5,1775,False,-17.97236910039891,22.386686195407396,-16.67756770420427
T013_L_P00119,T013,L,T003,test,29,0.0,0.375,0.625,0.375,0.625,1911,False,-17.071531609712935,23.468662149678373,-15.915183249813271
T013_L_P00120,T013,L,T003,test,30,0.5,0.5,0.0,0.5,0.0,227,False,-22.897243721799082,16.46755271503208,-19.072101593017578
T013_L_P00121,T013,L,T003,test,31,0.375,0.5,0.125,0.5,0.125,405,False,-21.984959530462294,17.69397690813169,-18.492110093998583
