sample_id,side,region_id,region_name,face_id,local_v0,local_v1,local_v2,global_v0,global_v1,global_v2
T078,L,T001,test,0,0,9,1,0,9,1
T078,L,T001,test,1,9,10,1,9,10,1
T078,L,T001,test,2,1,10,2,1,10,2
T078,L,T001,test,3,10,11,2,10,11,2
T078,L,T001,test,4,2,11,3,2,11,3
T078,L,T001,test,5,11,12,3,11,12,3
T078,L,T001,test,6,3,12,4,3,12,4
T078,L,T001,test,7,12,13,4,12,13,4
T078,L,T001,test,8,4,13,5,4,13,5
T078,L,T001,test,9,13,14,5,13,14,5
T078,L,T001,test,10,5,14,6,5,14,6
T078,L,T001,test,11,14,15,6,14,15,6
T078,L,T001,test,12,6,15,7,6,15,7
T078,L,T001,test,13,15,16,7,15,16,7
T078,L,T001,test,14,7,16,8,7,16,8
T078,L,T001,test,15,9,17,10,9,17,10
T078,L,T001,test,16,17,18,10,17,18,10
T078,L,T001,test,17,10,18,11,10,18,11
T078,L,T001,test,18,18,19,11,18,19,11
T078,L,T001,test,19,11,19,12,11,19,12
T078,L,T001,test,20,19,20,12,19,20,12
T078,L,T001,test,21,12,20,13,12,20,13
T078,L,T001,test,22,20,21,13,20,21,13
T078,L,T001,test,23,13,21,14,13,21,14
T078,L,T001,test,24,21,22,14,21,22,14
T078,L,T001,test,25,14,22,15,14,22,15
T078,L,T001,test,26,22,23,15,22,23,15
T078,L,T001,test,27,15,23,16,15,23,16
T078,L,T001,test,28,17,24,18,17,24,18
T078,L,T001,test,29,24,25,18,24,25,18
T078,L,T001,test,30,18,25,19,18,25,19
T078,L,T001,test,31,25,26,19,25,26,19
T078,L,T001,test,32,19,26,20,19,26,20
T078,L,T001,test,33,26,27,20,26,27,20
T078,L,T001,test,34,20,27,21,20,27,21
T078,L,T001,test,35,27,28,21,27,28,21
T078,L,T001,test,36,21,28,22,21,28,22
T078,L,T001,test,37,28,29,22,28,29,22
T078,L,T001,test,38,22,29,23,22,29,23
T078,L,T001,test,39,24,30,25,24,30,25
T078,L,T001,test,40,30,31,25,30,31,25
T078,L,T001,test,41,25,31,26,25,31,26
T078,L,T001,test,42,31,32,26,31,32,26
T078,L,T001,test,43,26,32,27,26,32,27
T078,L,T001,test,44,32,33,27,32,33,27
T078,L,T001,test,45,27,33,28,27,33,28
T078,L,T001,test,46,33,34,28,33,34,28
T078,L,T001,test,47,28,34,29,28,34,29
T078,L,T001,test,48,30,35,31,30,35,31
T078,L,T001,test,49,35,36,31,35,36,31
T078,L,T001,test,50,31,36,32,31,36,32
T078,L,T001,test,51,36,37,32,36,37,32
T078,L,T001,test,52,32,37,33,32,37,33
T078,L,T001,test,53,37,38,33,37,38,33
T078,L,T001,test,54,33,38,34,33,38,34
T078,L,T001,test,55,35,39,36,35,39,36
T078,L,T001,test,56,39,40,36,39,40,36
T078,L,T001,test,57,36,40,37,36,40,37
T078,L,T001,test,58,40,41,37,40,41,37
T078,L,T001,test,59,37,41,38,37,41,38
T078,L,T001,test,60,39,42,40,39,42,40
T078,L,T001,test,61,42,43,40,42,43,40
T078,L,T001,test,62,40,43,41,40,43,41
T078,L,T001,test,63,42,44,43,42,44,43
T078,L,T002,test,0,0,9,1,45,54,46
T078,L,T002,test,1,9,10,1,54,55,46
T078,L,T002,test,2,1,10,2,46,55,47
T078,L,T002,test,3,10,11,2,55,56,47
T078,L,T002,test,4,2,11,3,47,56,48
T078,L,T002,test,5,11,12,3,56,57,48
T078,L,T002,test,6,3,12,4,48,57,49
T078,L,T002,test,7,12,13,4,57,58,49
T078,L,T002,test,8,4,13,5,49,58,50
T078,L,T002,test,9,13,14,5,58,59,50
T078,L,T002,test,10,5,14,6,50,59,51
T078,L,T002,test,11,14,15,6,59,60,51
T078,L,T002,test,12,6,15,7,51,60,52
T078,L,T002,test,13,15,16,7,60,61,52
T078,L,T002,test,14,7,16,8,52,61,53
T078,L,T002,test,15,9,17,10,54,62,55
T078,L,T002,test,16,17,18,10,62,63,55
T078,L,T002,test,17,10,18,11,55,63,56
T078,L,T002,test,18,18,19,11,63,64,56
T078,L,T002,test,19,11,19,12,56,64,57
T078,L,T002,test,20,19,20,12,64,65,57
T078,L,T002,test,21,12,20,13,57,65,58
T078,L,T002,test,22,20,21,13,65,66,58
T078,L,T002,test,23,13,21,14,58,66,59
T078,L,T002,test,24,21,22,14,66,67,59
T078,L,T002,test,25,14,22,15,59,67,60
T078,L,T002,test,26,22,23,15,67,68,60
T078,L,T002,test,27,15,23,16,60,68,61
T078,L,T002,test,28,17,24,18,62,69,63
T078,L,T002,test,29,24,25,18,69,70,63
T078,L,T002,test,30,18,25,19,63,70,64
T078,L,T002,test,31,25,26,19,70,71,64
T078,L,T002,test,32,19,26,20,64,71,65
T078,L,T002,test,33,26,27,20,71,72,65
T078,L,T002,test,34,20,27,21,65,72,66
T078,L,T002,test,35,27,28,21,72,73,66
T078,L,T002,test,36,21,28,22,66,73,67
T078,L,T002,test,37,28,29,22,73,74,67
T078,L,T002,test,38,22,29,23,67,74,68
T078,L,T002,test,39,24,30,25,69,75,70
T078,L,T002,test,40,30,31,25,75,76,70
T078,L,T002,test,41,25,31,26,70,76,71
T078,L,T002,test,42,31,32,26,76,77,71
T078,L,T002,test,43,26,32,27,71,77,72
T078,L,T002,test,44,32,33,27,77,78,72
T078,L,T002,test,45,27,33,28,72,78,73
T078,L,T002,test,46,33,34,28,78,79,73
T078,L,T002,test,47,28,34,29,73,79,74
T078,L,T002,test,48,30,35,31,75,80,76
T078,L,T002,test,49,35,36,31,80,81,76
T078,L,T002,test,50,31,36,32,76,81,77
T078,L,T002,test,51,36,37,32,81,82,77
T078,L,T002,test,52,32,37,33,77,82,78
T078,L,T002,test,53,37,38,33,82,83,78
T078,L,T002,test,54,33,38,34,78,83,79
T078,L,T002,test,55,35,39,36,80,84,81
T078,L,T002,test,56,39,40,36,84,85,81
T078,L,T002,test,57,36,40,37,81,85,82
T078,L,T002,test,58,40,41,37,85,86,82
T078,L,T002,test,59,37,41,38,82,86,83
T078,L,T002,test,60,39,42,40,84,87,85
T078,L,T002,test,61,42,43,40,87,88,85
T078,L,T002,test,62,40,43,41,85,88,86
T078,L,T002,test,63,42,44,43,87,89,88
T078,L,T003,test,0,0,9,1,90,99,91
T078,L,T003,test,1,9,10,1,99,100,91
T078,L,T003,test,2,1,10,2,91,100,92
T078,L,T003,test,3,10,11,2,100,101,92
T078,L,T003,test,4,2,11,3,92,101,93
T078,L,T003,test,5,11,12,3,101,102,93
T078,L,T003,test,6,3,12,4,93,102,94
T078,L,T003,test,7,12,13,4,102,103,94
T078,L,T003,test,8,4,13,5,94,103,95
T078,L,T003,test,9,13,14,5,103,104,95
T078,L,T003,test,10,5,14,6,95,104,96
T078,L,T003,test,11,14,15,6,104,105,96
T078,L,T003,test,12,6,15,7,96,105,97
T078,L,T003,test,13,15,16,7,105,106,97
T078,L,T003,test,14,7,16,8,97,106,98
T078,L,T003,test,15,9,17,10,99,107,100
T078,L,T003,test,16,17,18,10,107,108,100
T078,L,T003,test,17,10,18,11,100,108,101
T078,L,T003,test,18,18,19,11,108,109,101
T078,L,T003,test,19,11,19,12,101,109,102
T078,L,T003,test,20,19,20,12,109,110,102
T078,L,T003,test,21,12,20,13,102,110,103
T078,L,T003,test,22,20,21,13,110,111,103
T078,L,T003,test,23,13,21,14,103,111,104
T078,L,T003,test,24,21,22,14,111,112,104
T078,L,T003,test,25,14,22,15,104,112,105
T078,L,T003,test,26,22,23,15,112,113,105
T078,L,T003,test,27,15,23,16,105,113,106
T078,L,T003,test,28,17,24,18,107,114,108
T078,L,T003,test,29,24,25,18,114,115,108
T078,L,T003,test,30,18,25,19,108,115,109
T078,L,T003,test,31,25,26,19,115,116,109
T078,L,T003,test,32,19,26,20,109,116,110
T078,L,T003,test,33,26,27,20,116,117,110
T078,L,T003,test,34,20,27,21,110,117,111
T078,L,T003,test,35,27,28,21,117,118,111
T078,L,T003,test,36,21,28,22,111,118,112
T078,L,T003,test,37,28,29,22,118,119,112
T078,L,T003,test,38,22,29,23,112,119,113
T078,L,T003,test,39,24,30,25,114,120,115
T078,L,T003,test,40,30,31,25,120,121,115
T078,L,T003,test,41,25,31,26,115,121,116
T078,L,T003,test,42,31,32,26,121,122,116
T078,L,T003,test,43,26,32,27,116,122,117
T078,L,T003,test,44,32,33,27,122,123,117
T078,L,T003,test,45,27,33,28,117,123,118
T078,L,T003,test,46,33,34,28,123,124,118
T078,L,T003,test,47,28,34,29,118,124,119
T078,L,T003,test,48,30,35,31,120,125,121
T078,L,T003,test,49,35,36,31,125,126,121
T078,L,T003,test,50,31,36,32,121,126,122
T078,L,T003,test,51,36,37,32,126,127,122
T078,L,T003,test,52,32,37,33,122,127,123
T078,L,T003,test,53,37,38,33,127,128,123
T078,L,T003,test,54,33,38,34,123,128,124
T078,L,T003,test,55,35,39,36,125,129,126
T078,L,T003,test,56,39,40,36,129,130,126
T078,L,T003,test,57,36,40,37,126,130,127
T078,L,T003,test,58,40,41,37,130,131,127
T078,L,T003,test,59,37,41,38,127,131,128
T078,L,T003,test,60,39,42,40,129,132,130
T078,L,T003,test,61,42,43,40,132,133,130
T078,L,T003,test,62,40,43,41,130,133,131
T078,L,T003,test,63,42,44,43,132,134,133
