sample_id,side,region_id,region_name,lm_a,lm_b,lm_c,edge_ab,edge_bc,edge_ca,perimeter,triangle_area,angle_a_deg,angle_b_deg,angle_c_deg,centroid_x,centroid_y,centroid_z,normal_x,normal_y,normal_z,snap_distance_a,snap_distance_b,snap_distance_c,snap_distance_mean,snap_distance_max
T078,L,T001,test,L2,L7,L31,21.27226564035096,9.925330994952914,22.961736701903213,54.15933333720709,105.39960804605985,25.567191130944916,86.77167010566622,67.66113876338888,9.111922333333334,11.851371333333333,-9.023857666666666,0.44717049168383427,-0.22447966623302343,-0.8658218239425177,0.0241267280920191,0.07952980222194397,1.8009206860011485e-07,0.03455223680201056,0.07952980222194397
T078,L,T002,test,L2,L10,L31,21.152893651739134,10.036105877487094,22.961736701903213,54.15073623112944,106.01733054287347,25.88385819037765,87.17485889475502,66.94128291486733,4.5287283333333335,7.862958333333334,-9.554509333333334,-0.2775739510916041,0.3744198954800963,0.8847386300733509,0.0241267280920191,0.03973367400191596,1.8009206860011485e-07,0.02128686072866789,0.03973367400191596
T078,L,T003,test,L10,L18,L31,17.508091321336913,25.893318938786624,10.036105877487094,53.437516137610636,58.21417439425208,138.5011521273392,14.88157374320307,26.61727412945777,2.6216596666666665,-3.4037086666666667,-6.6825513333333335,-0.20413066117596304,0.09726443848042554,0.9740997393362507,0.03973367400191596,5.656821465226352e-07,1.8009206860011485e-07,0.013244806592043691,0.03973367400191596
T078,L,T004,test,L18,L28,L31,19.922006534389304,21.85004374317498,25.893318938786624,67.66536921635091,211.59799794783385,55.12392771124583,76.45865664387779,48.41741564487639,1.8947399999999999,-5.9545449999999995,-1.085233,-0.695652748855084,0.7178977195325401,-0.02627008375212701,5.656821465226352e-07,3.266616515343466e-07,1.8009206860011485e-07,3.574786222190322e-07,5.656821465226352e-07
T078,L,T005,test,L13,L28,L31,14.365670391225223,21.85004374317498,11.477595650366194,47.6933097847664,74.72321208453218,114.9906621215666,28.43164781438506,36.57769006404836,8.060434333333333,-3.044967,1.8630703333333336,-0.4542219442358639,-0.5251758068912475,-0.7196337938359474,0.07609024430528964,3.266616515343466e-07,1.8009206860011485e-07,0.025363583686336594,0.07609024430528964
T078,L,T006,test,L15,L18,L20,18.354058764687498,11.519945911210913,16.883743938894863,46.75774861479327,95.12365291057519,37.8740885443234,64.12906138551574,77.99685007016087,-4.076524333333333,-14.334645,0.6405929999999999,-0.5106556509611049,-0.8443573093754345,0.16214666276481657,0.11251250288676709,5.656821465226352e-07,0.10597308505545566,0.07282871787478977,0.11251250288676709
T078,L,T007,test,L18,L20,L28,11.519945911210913,15.54100481309587,19.922006534389304,46.98295725869609,89.33642239513038,51.12612783341471,93.62748036988995,35.246391796695356,-1.4086183333333333,-13.263168333333333,0.4217983333333333,-0.6480515958422325,-0.5718596461591096,0.5029966940459091,5.656821465226352e-07,0.10597308505545566,3.266616515343466e-07,0.03532465913308457,0.10597308505545566
T078,L,T008,test,L20,L28,L29,15.54100481309587,11.161348335505123,14.4962907392434,41.19864388784439,77.471446351617,43.452899039124205,63.285279432298694,73.26182152857713,1.489007,-14.263946333333331,7.44395,0.9861296457201154,0.1650248315348595,-0.01775181142336829,0.10597308505545566,3.266616515343466e-07,0.005019233182086554,0.03699754829973125,0.10597308505545566
T078,L,T009,test,L28,L29,L30,11.161348335505123,5.093122765364488,6.710531820020898,22.96500292089051,10.603579123577562,16.447997305295956,21.904617951777933,141.647384742926,0.9461603333333333,-12.359994333333333,12.245797333333334,-0.8433710728506159,-0.3110564493248838,-0.4381428064138419,3.266616515343466e-07,0.005019233182086554,0.018335358605302228,0.007784972816346772,0.018335358605302228
T078,L,T010,test,L19,L29,L30,17.17238796484994,5.093122765364488,18.33271960428264,40.59823033449707,43.56386235215568,16.0667537854438,95.00405392890559,68.92919228565067,5.186039,-15.065914333333332,9.179130666666666,-0.7165633480017486,-0.2677444890414388,-0.644088392139203,0.015771484881404722,0.005019233182086554,0.018335358605302228,0.0130420255562645,0.018335358605302228
T078,L,T011,test,L20,L21,L29,14.51698248675671,14.938254239845465,14.4962907392434,43.95152746584557,92.88614088815034,61.97836002650305,58.942784589966486,59.07885538353049,5.822706666666666,-19.901535666666664,6.281841666666666,-0.4772201391003467,-0.8767695458432425,0.059465135322137486,0.10597308505545566,0.0011374730492956602,0.005019233182086554,0.037376597095612626,0.10597308505545566
T078,L,T012,test,L19,L21,L29,10.491781028312495,14.938254239845465,17.17238796484994,42.6024232330079,77.77611322304077,59.69695587237503,82.9747500099906,37.32829411763439,9.499277000000001,-18.861243,6.7485083333333336,-0.6580726925602525,-0.4248927436573823,-0.6216160291480596,0.015771484881404722,0.0011374730492956602,0.005019233182086554,0.007309397037595647,0.015771484881404722
T078,L,T013,test,L20,L21,L26,14.51698248675671,11.586221956795969,23.836547741978286,49.93975218553096,62.92043081972573,21.32547171449676,131.56741915559405,27.107109129909194,10.090775666666667,-25.567424666666664,5.447633666666667,0.3692109062014249,-0.3455705547897786,-0.8627075393226881,0.10597308505545566,0.0011374730492956602,5.118070924211681e-07,0.03570368997061458,0.10597308505545566
