point_id,sample_id,side,region_id,region_name,region_point_id,lambda_a,lambda_b,lambda_c,u,v,source_face_index,is_unmapped,x,y,z
T077_L_P00000,T077,L,T001,test,0,1.0,0.0,0.0,0.0,0.0,6080,False,8.46386432647705,15.222355842590332,-8.543085098266602
T077_L_P00001,T077,L,T001,test,1,0.875,0.0,0.125,0.0,0.125,5771,False,9.063864707946777,12.998806035626787,-10.005876196448384
T077_L_P00002,T077,L,T001,test,2,0.75,0.0,0.25,0.0,0.25,4393,False,10.637523496605649,10.731808567837914,-10.143085479736328
T077_L_P00003,T077,L,T001,test,3,0.625,0.0,0.375,0.0,0.375,4521,False,12.465784062876109,8.629028751621842,-9.875512588344886
T077_L_P00004,T077,L,T001,test,4,0.5,0.0,0.5,0.0,0.5,2778,False,14.241816714114458,7.122981472629201,-8.57087643000463
T077_L_P00005,T077,L,T001,test,5,0.375,0.0,0.625,0.0,0.625,4538,False,15.626825647666653,5.648632623159233,-6.700509054487476
T077_L_P00006,T077,L,T001,test,6,0.25,0.0,0.75,0.0,0.75,6721,False,16.65037245357084,4.155141270353537,-4.569349012178176
T077_L_P00007,T077,L,T001,test,7,0.125,0.0,0.875,0.0,0.875,7767,False,16.86386489868164,2.6518368863498254,-2.152620621152339
T077_L_P00008,T077,L,T001,test,8,0.0,0.0,1.0,0.0,1.0,-1,True,,,
T077_L_P00009,T077,L,T001,test,9,0.875,0.125,0.0,0.125,0.0,5228,False,10.372389245600623,15.20299166887334,-8.143085479736328
T077_L_P00010,T077,L,T001,test,10,0.75,0.125,0.125,0.125,0.125,5987,False,11.609137797569684,13.26277815213318,-10.131101228951708
T077_L_P00011,T077,L,T001,test,11,0.625,0.125,0.25,0.125,0.25,4119,False,13.17177631679128,10.389890055610831,-10.570545940471453
T077_L_P00012,T077,L,T001,test,12,0.5,0.125,0.375,0.125,0.375,2590,False,14.812600669153356,7.655455111236266,-9.825056777302168
T077_L_P00013,T077,L,T001,test,13,0.375,0.125,0.5,0.125,0.5,6289,False,15.936373551691254,5.886988278801833,-7.837508061012601
T077_L_P00014,T077,L,T001,test,14,0.25,0.125,0.625,0.125,0.625,6610,False,16.81501370944507,4.481245187571488,-5.673626029705407
T077_L_P00015,T077,L,T001,test,15,0.125,0.125,0.75,0.125,0.75,7586,False,17.386570714349347,2.9659063465148874,-3.3328817613405555
T077_L_P00016,T077,L,T001,test,16,0.0,0.125,0.875,0.125,0.875,7948,False,17.07073954510618,1.3315995373016805,-1.157187440156906
T077_L_P00017,T077,L,T001,test,17,0.75,0.25,0.0,0.25,0.0,27,False,12.20762825356928,14.6597986110281,-7.857058428808024
T077_L_P00018,T077,L,T001,test,18,0.625,0.25,0.125,0.25,0.125,1073,False,13.861499523087303,12.905243762922675,-9.813205910802901
T077_L_P00019,T077,L,T001,test,19,0.5,0.25,0.25,0.25,0.25,1546,False,15.64306647260204,9.605729480116693,-10.124950113506886
T077_L_P00020,T077,L,T001,test,20,0.375,0.25,0.375,0.25,0.375,2844,False,16.58071544494645,6.998195394181842,-8.571381549414877
T077_L_P00021,T077,L,T001,test,21,0.25,0.25,0.5,0.25,0.5,6501,False,17.301990894949633,5.051716659608795,-6.5209762843025025
T077_L_P00022,T077,L,T001,test,22,0.125,0.25,0.625,0.25,0.625,7359,False,17.878604492400243,3.5164172867616847,-4.529298705014993
T077_L_P00023,T077,L,T001,test,23,0.0,0.25,0.75,0.25,0.75,7825,False,18.06571483234977,1.5106398338457618,-2.1458030253532594
T077_L_P00024,T077,L,T001,test,24,0.625,0.375,0.0,0.375,0.0,8060,False,13.75362351023934,13.665459140793239,-7.153481054958732
