point_id,sample_id,side,region_id,region_name,region_point_id,lambda_a,lambda_b,lambda_c,u,v,source_face_index,is_unmapped,x,y,z
T001_L_P00000,T001,L,T001,test,0,1.0,0.0,0.0,0.0,0.0,4783,False,-16.10078239440918,-12.06403636932373,-7.520147323608398
T001_L_P00001,T001,L,T001,test,1,0.875,0.0,0.125,0.0,0.125,4507,False,-15.459259630483878,-10.549479484558105,-9.467788555372067
T001_L_P00002,T001,L,T001,test,2,0.75,0.0,0.25,0.0,0.25,4373,False,-14.232944484859564,-8.59963558762805,-10.824634107186558
T001_L_P00003,T001,L,T001,test,3,0.625,0.0,0.375,0.0,0.375,780,False,-12.291287531751841,-6.960691950461866,-11.350188237058461
T001_L_P00004,T001,L,T001,test,4,0.5,0.0,0.5,0.0,0.5,41,False,-11.75291628585316,-5.023199404883627,-9.593867625403647
T001_L_P00005,T001,L,T001,test,5,0.375,0.0,0.625,0.0,0.625,7026,False,-13.101285005288126,-3.2429643090076095,-8.045914133535637
T001_L_P00006,T001,L,T001,test,6,0.25,0.0,0.75,0.0,0.75,3362,False,-11.958925000613547,-1.407622160074836,-6.991136638784079
T001_L_P00007,T001,L,T001,test,7,0.125,0.0,0.875,0.0,0.875,6830,False,-10.023979663065901,0.5273232191308262,-7.402862614762622
T001_L_P00008,T001,L,T001,test,8,0.0,0.0,1.0,0.0,1.0,6663,False,-7.900781631469727,2.0483486652374268,-7.92014741897583
T001_L_P00009,T001,L,T001,test,9,0.875,0.125,0.0,0.125,0.0,4590,False,-15.038062521178727,-12.160609819015832,-9.414090163649856
T001_L_P00010,T001,L,T001,test,10,0.75,0.125,0.125,0.125,0.125,4100,False,-13.855924831134033,-10.303742470631317,-10.780090158521734
T001_L_P00011,T001,L,T001,test,11,0.625,0.125,0.25,0.125,0.25,647,False,-11.92246080718628,-8.606541381328446,-10.87304240227207
T001_L_P00012,T001,L,T001,test,12,0.5,0.125,0.375,0.125,0.375,61,False,-11.90376397767397,-6.691838634946647,-9.25250230462611
T001_L_P00013,T001,L,T001,test,13,0.375,0.125,0.5,0.125,0.5,2158,False,-13.38407843653904,-4.817431846171629,-7.557346152956963
T001_L_P00014,T001,L,T001,test,14,0.25,0.125,0.625,0.125,0.625,3002,False,-11.73463929399766,-2.790687725940096,-7.052015410697903
T001_L_P00015,T001,L,T001,test,15,0.125,0.125,0.75,0.125,0.75,6149,False,-9.829459016053681,-1.0535556269220072,-7.613836058889877
T001_L_P00016,T001,L,T001,test,16,0.0,0.125,0.875,0.125,0.875,6704,False,-7.87212958238653,0.6034059714931198,-8.075534448830854
T001_L_P00017,T001,L,T001,test,17,0.75,0.25,0.0,0.25,0.0,4668,False,-13.295905906999131,-12.149478912353517,-10.666255471022946
T001_L_P00018,T001,L,T001,test,18,0.625,0.25,0.125,0.25,0.125,937,False,-11.67906549374391,-10.29597577942312,-10.398412929877301
T001_L_P00019,T001,L,T001,test,19,0.5,0.25,0.25,0.25,0.25,211,False,-12.041077487116898,-8.509030563938953,-8.788772015679527
T001_L_P00020,T001,L,T001,test,20,0.375,0.25,0.375,0.25,0.375,2091,False,-13.0606365587108,-6.616899064312218,-7.208723612502568
T001_L_P00021,T001,L,T001,test,21,0.25,0.25,0.5,0.25,0.5,3124,False,-11.328136459845194,-4.280275617173871,-7.222210041111625
T001_L_P00022,T001,L,T001,test,22,0.125,0.25,0.625,0.25,0.625,6068,False,-9.706281729798654,-2.5340554343809805,-7.912481318770443
T001_L_P00023,T001,L,T001,test,23,0.0,0.25,0.75,0.25,0.75,6433,False,-7.427852460990984,-0.6880523647938899,-8.482136126878206
T001_L_P00024,T001,L,T001,test,24,0.625,0.375,0.0,0.375,0.0,4858,False,-11.47218603741906,-12.149478912353516,-9.955837714323684
T001_L_P00025,T001,L,T001,test,25,0.5,0.375,0.125,0.375,0.125,7091,False,-12.04302241892363,-10.219413903922733,-8.332941702055974
T001_L_P00026,T001,L,T001,test,26,0.375,0.375,0.25,0.375,0.25,1909,False,-12.280197387078388,-8.227005580281427,-7.177308638054266
T001_L_P00027,T001,L,T001,test,27,0.25,0.375,0.375,0.375,0.375,3162,False,-10.857768272833411,-5.944407986446581,-7.619825478938228
T001_L_P00028,T001,L,T001,test,28,0.125,0.375,0.5,0.375,0.5,5751,False,-9.361621059921712,-3.9490518401197763,-8.308061706538153
T001_L_P00029,T001,L,T001,test,29,0.0,0.375,0.625,0.375,0.625,6360,False,-7.30078125,-2.087127559112914,-8.781445255257136
T001_L_P00030,T001,L,T001,test,30,0.5,0.5,0.0,0.5,0.0,7425,False,-12.037167189378291,-11.970249941330511,-7.97402486183002
T001_L_P00031,T001,L,T001,test,31,0.375,0.5,0.125,0.5,0.125,1627,False,-11.465208236603466,-9.715874690362927,-7.460424487260849
T001_L_P00032,T001,L,T001,test,32,0.25,0.5,0.25,0.5,0.25,2436,False,-10.385533525228505,-7.552168220258505,-8.11782599912903
T001_L_P00033,T001,L,T001,test,33,0.125,0.5,0.375,0.5,0.375,3700,False,-9.126180500531284,-5.524177430057756,-8.761951543102864
T001_L_P00034,T001,L,T001,test,34,0.0,0.5,0.5,0.5,0.5,5851,False,-7.100781440734862,-3.480006301194706,-9.023318122458393
T001_L_P00035,T001,L,T001,test,35,0.375,0.625,0.0,0.625,0.0,3994,False,-10.997135018025382,-11.107835493310546,-7.741827961926237
T001_L_P00036,T001,L,T001,test,36,0.25,0.625,0.125,0.625,0.125,3889,False,-9.965794099938966,-9.1337207630545,-8.52534589312542
T001_L_P00037,T001,L,T001,test,37,0.125,0.625,0.25,0.625,0.25,3797,False,-8.727901870439142,-6.970069890461578,-9.131309142632825
T001_L_P00038,T001,L,T001,test,38,0.0,0.625,0.375,0.625,0.375,5696,False,-7.100781440734863,-4.923026941276147,-9.248305169052836
T001_L_P00039,T001,L,T001,test,39,0.25,0.75,0.0,0.75,0.0,4887,False,-9.425298315455455,-10.749479293823242,-9.085276405385851
T001_L_P00040,T001,L,T001,test,40,0.125,0.75,0.125,0.75,0.125,5181,False,-8.267632756184623,-8.360468430606508,-9.372821081556848
T001_L_P00041,T001,L,T001,test,41,0.0,0.75,0.25,0.75,0.25,5452,False,-6.740276954680245,-6.270966012080759,-9.27072133522379
T001_L_P00042,T001,L,T001,test,42,0.125,0.875,0.0,0.875,0.0,6278,False,-7.630721831764223,-9.789344247174036,-9.16727881240744
T001_L_P00043,T001,L,T001,test,43,0.0,0.875,0.125,0.875,0.125,5574,False,-6.527475015700731,-7.617700638809838,-8.943298174392377
T001_L_P00044,T001,L,T001,test,44,0.0,1.0,0.0,1.0,0.0,6336,False,-6.35321044921875,-8.749479293823242,-8.120147705078125
