sample_id,side,region_id,region_name,point_id_global,point_id_region,x,y,z,u,v,lambda_a,lambda_b,lambda_c,lm_a,lm_b,lm_c
S001,R,T001,耳甲腔上区,0,0,-6.9737687292346715,-3.1138477213379216,11.7208746505406,,,1.0,0.0,0.0,L10,L29,L28
S001,R,T001,耳甲腔上区,1,1,-5.584535756339884,-0.9204412925154815,11.673519622563841,,,0.875,0.0,0.125,L10,L29,L28
S001,R,T001,耳甲腔上区,2,2,-12.463514105668363,1.748910336453698,7.118159721495432,,,0.75,0.0,0.25,L10,L29,L28
S001,R,T001,耳甲腔上区,3,3,-9.452638740733072,3.848969742229996,7.9549586563088805,,,0.625,0.0,0.375,L10,L29,L28
S001,R,T001,耳甲腔上区,4,4,-12.53472263401686,6.2997597474824,5.469746462333886,,,0.5,0.0,0.5,L10,L29,L28
S001,R,T001,耳甲腔上区,5,5,-14.920170718533587,8.71044912437504,3.3643549452023547,,,0.375,0.0,0.625,L10,L29,L28
S001,R,T001,耳甲腔上区,6,6,-13.930417277494549,10.926850897454393,3.0991951700893337,,,0.25,0.0,0.75,L10,L29,L28
S001,R,T001,耳甲腔上区,7,7,-11.795146142316446,13.077312937384589,3.4585960340484907,,,0.125,0.0,0.875,L10,L29,L28
S001,R,T001,耳甲腔上区,8,8,-3.4236466373243326,14.868797340682114,7.218121397156798,,,0.0,0.0,1.0,L10,L29,L28
S001,R,T001,耳甲腔上区,9,9,-10.752765059868743,0.5059457487516156,8.964022699042056,,,0.875,0.125,0.0,L10,L29,L28
S001,R,T001,耳甲腔上区,10,10,-11.770896828469207,2.8379279407064617,7.604121152473003,,,0.75,0.125,0.125,L10,L29,L28
S001,R,T001,耳甲腔上区,11,11,-6.040391473813775,4.781436577599634,9.923720268470953,,,0.625,0.125,0.25,L10,L29,L28
S001,R,T001,耳甲腔上区,12,12,-4.741787606717889,6.980059913225419,9.826952322190202,,,0.5,0.125,0.375,L10,L29,L28
S001,R,T001,耳甲腔上区,13,13,-10.367515689841394,9.57727037096208,5.954891152501633,,,0.375,0.125,0.5,L10,L29,L28
S001,R,T001,耳甲腔上区,14,14,-15.53176745706579,12.147916747427333,2.334436696746168,,,0.25,0.125,0.625,L10,L29,L28
S001,R,T001,耳甲腔上区,15,15,-17.163522714414565,14.515221107960791,0.6399745578412761,,,0.125,0.125,0.75,L10,L29,L28
S001,R,T001,耳甲腔上区,16,16,-3.1272220205766503,15.980621086157672,7.488070153277153,,,0.0,0.125,0.875,L10,L29,L28
S001,R,T001,耳甲腔上区,17,17,-10.491539401485747,3.893170869017816,8.409985806939408,,,0.75,0.25,0.0,L10,L29,L28
