sample_id,side,region_id,region_name,sample_point_count,expected_point_count,remesh_face_count,unmapped_count,flipped_faces,degenerate_faces,patch_face_count,mesh_exported,mesh_path,status
T076,L,T001,test,45,45,64,1,0,0,8120,False,,WARNING
T076,L,T002,test,45,45,64,1,33678,0,33678,False,,WARNING
T076,L,T003,test,45,45,64,1,3290,0,3290,False,,WARNING
T076,L,T004,test,45,45,64,0,19529,0,19529,True,output\remesh\T076_L\T004_remesh.ply,PASS
T076,L,T005,test,45,45,64,3,0,0,1782,False,,WARNING
T076,L,T006,test,45,45,64,3,0,0,8165,False,,WARNING
T076,L,T007,test,45,45,64,0,24769,0,24769,True,output\remesh\T076_L\T007_remesh.ply,PASS
T076,L,T008,test,45,45,64,2,0,0,2763,False,,WARNING
T076,L,T009,test,45,45,64,1,1084,0,1084,False,,WARNING
T076,L,T010,test,45,45,64,1,0,0,3125,False,,WARNING
T076,L,T011,test,45,45,64,1,3212,0,3212,False,,WARNING
T076,L,T012,test,45,45,64,1,0,0,2095,False,,WARNING
T076,L,T013,test,45,45,64,3,0,0,3913,False,,WARNING
