sample_id,side,region_id,region_name,point_id_global,point_id_region,x,y,z,u,v,lambda_a,lambda_b,lambda_c,lm_a,lm_b,lm_c
S003,R,T001,耳甲腔上区,0,0,-6.2667949682563,-3.100983312473817,11.676499817931331,,,1.0,0.0,0.0,L10,L29,L28
S003,R,T001,耳甲腔上区,1,1,-11.239203392770786,-0.5301970531484022,8.09318768306007,,,0.875,0.0,0.125,L10,L29,L28
S003,R,T001,耳甲腔上区,2,2,-5.321434992028182,1.415225923010008,10.666382340530024,,,0.75,0.0,0.25,L10,L29,L28
S003,R,T001,耳甲腔上区,3,3,-5.477708663851645,3.709447908913141,9.805759358786723,,,0.625,0.0,0.375,L10,L29,L28
S003,R,T001,耳甲腔上区,4,4,-14.434676713294953,6.509045630990991,3.969869622193758,,,0.5,0.0,0.5,L10,L29,L28
S003,R,T001,耳甲腔上区,5,5,-15.714955762538219,8.867813097137457,2.473816486124202,,,0.375,0.0,0.625,L10,L29,L28
S003,R,T001,耳甲腔上区,6,6,-16.420871797319744,11.193598037268195,1.3024660483251314,,,0.25,0.0,0.75,L10,L29,L28
S003,R,T001,耳甲腔上区,7,7,-14.267244325413003,13.35517503620633,1.7476916592354506,,,0.125,0.0,0.875,L10,L29,L28
S003,R,T001,耳甲腔上区,8,8,-3.4116236174691608,15.017044165611296,7.112385642809765,,,0.0,0.0,1.0,L10,L29,L28
S003,R,T001,耳甲腔上区,9,9,-6.439108636786427,0.325354802803111,10.903577717898708,,,0.875,0.125,0.0,L10,L29,L28
S003,R,T001,耳甲腔上区,10,10,-8.774304401910715,2.7447003652923923,8.811152086608221,,,0.75,0.125,0.125,L10,L29,L28
S003,R,T001,耳甲腔上区,11,11,-11.991213258856254,5.214677887460524,6.220270578448594,,,0.625,0.125,0.25,L10,L29,L28
S003,R,T001,耳甲腔上区,12,12,-4.660226170589395,7.078947445043315,9.592395371619181,,,0.5,0.125,0.375,L10,L29,L28
S003,R,T001,耳甲腔上区,13,13,-4.694959504387309,9.3661900341888,8.800482377656976,,,0.375,0.125,0.5,L10,L29,L28
S003,R,T001,耳甲腔上区,14,14,-17.031362892341424,12.359850241426628,1.0541079033353986,,,0.25,0.125,0.625,L10,L29,L28
S003,R,T001,耳甲腔上区,15,15,-16.370541724923328,14.60715094041909,0.655410380516694,,,0.125,0.125,0.75,L10,L29,L28
S003,R,T001,耳甲腔上区,16,16,-8.822106554569903,16.45893364414135,4.150464361691218,,,0.0,0.125,0.875,L10,L29,L28
S003,R,T001,耳甲腔上区,17,17,-5.424937159823559,3.6835595665357883,10.801407247931296,,,0.75,0.25,0.0,L10,L29,L28
S003,R,T001,耳甲腔上区,18,18,-7.4866688192348265,6.087201581348902,8.863578153620733,,,0.625,0.25,0.125,L10,L29,L28
S003,R,T001,耳甲腔上区,19,19,-14.445950149931889,8.772083082999835,4.157033885910081,,,0.5,0.25,0.25,L10,L29,L28
S003,R,T001,耳甲腔上区,20,20,-14.51926858982997,11.061541403718719,3.343307704558876,,,0.375,0.25,0.375,L10,L29,L28
S003,R,T001,耳甲腔上区,21,21,-8.393056595989085,12.994994604562471,6.034341072760622,,,0.25,0.25,0.5,L10,L29,L28
S003,R,T001,耳甲腔上区,22,22,-16.89937147129066,15.768713780031652,0.4532175692703729,,,0.125,0.25,0.625,L10,L29,L28
S003,R,T001,耳甲腔上区,23,23,-2.6667329023975683,17.23665924678885,7.727029626168612,,,0.0,0.25,0.75,L10,L29,L28
S003,R,T001,耳甲腔上区,24,24,-9.467383753656923,7.332138245147494,7.8405960048470105,,,0.625,0.375,0.0,L10,L29,L28
S003,R,T001,耳甲腔上区,25,25,-9.910268608181132,9.642818743440428,6.817944093604068,,,0.5,0.375,0.125,L10,L29,L28
S003,R,T001,耳甲腔上区,26,26,-14.212503508714352,12.175120603295237,3.6134988879518746,,,0.375,0.375,0.25,L10,L29,L28
S003,R,T001,耳甲腔上区,27,27,-9.105448616926777,14.167098421473474,5.7283756223419795,,,0.25,0.375,0.375,L10,L29,L28
S003,R,T001,耳甲腔上区,28,28,-13.485197128430679,16.703851463988105,2.480109909447609,,,0.125,0.375,0.5,L10,L29,L28
S003,R,T001,耳甲腔上区,29,29,-3.768556840402054,18.431126008410008,7.200907948624675,,,0.0,0.375,0.625,L10,L29,L28
S003,R,T001,耳甲腔上区,30,30,-15.123574668909923,11.073385432565512,3.967492148397633,,,0.5,0.5,0.0,L10,L29,L28
S003,R,T001,耳甲腔上区,31,31,-13.989958575767185,13.293536105276457,3.8360781801358845,,,0.375,0.5,0.125,L10,L29,L28
S003,R,T001,耳甲腔上区,32,32,-13.663005297016264,15.56000901077664,3.2486362542367746,,,0.25,0.5,0.25,L10,L29,L28
S003,R,T001,耳甲腔上区,33,33,-17.13721116174054,18.04476169262454,0.5122978998333788,,,0.125,0.5,0.375,L10,L29,L28
S003,R,T001,耳甲腔上区,34,34,-4.455307908963511,19.601757405688204,6.909438010996965,,,0.0,0.5,0.5,L10,L29,L28
S003,R,T001,耳甲腔上区,35,35,-16.149426927911474,14.548737600030275,2.7120419669498865,,,0.375,0.625,0.0,L10,L29,L28
S003,R,T001,耳甲腔上区,36,36,-5.086391120036292,16.19869601485719,8.193993226696227,,,0.25,0.625,0.125,L10,L29,L28
S003,R,T001,耳甲腔上区,37,37,-10.316311519199113,18.784269778233707,4.465102719088625,,,0.125,0.625,0.25,L10,L29,L28
S003,R,T001,耳甲腔上区,38,38,-4.6213197914085615,20.7424856000774,6.912355794322406,,,0.0,0.625,0.375,L10,L29,L28
S003,R,T001,耳甲腔上区,39,39,-16.28017949799399,17.97268908877265,1.962615461983876,,,0.25,0.75,0.0,L10,L29,L28
S003,R,T001,耳甲腔上区,40,40,-2.6028462650384565,19.47252270331805,8.922498633485596,,,0.125,0.75,0.125,L10,L29,L28
S003,R,T001,耳甲腔上区,41,41,-5.197422078845891,21.906763043131324,6.683438557489709,,,0.0,0.75,0.25,L10,L29,L28
S003,R,T001,耳甲腔上区,42,42,-12.90006466672467,21.19503066795133,3.1979757378258036,,,0.125,0.875,0.0,L10,L29,L28
S003,R,T001,耳甲腔上区,43,43,-9.423490754837099,23.280638089679023,4.391098180379523,,,0.0,0.875,0.125,L10,L29,L28
S003,R,T001,耳甲腔上区,44,44,-0.8478817800941326,23.91938281702516,9.335886885261772,,,0.0,1.0,0.0,L10,L29,L28
S003,R,T002,耳甲腔下区,45,0,-6.733232794312122,-2.852577346422824,12.107378692654452,,,1.0,0.0,0.0,L10,L31,L30
S003,R,T002,耳甲腔下区,46,1,-6.144562471353349,-0.7496447263165869,12.325830724049712,,,0.875,0.0,0.125,L10,L31,L30
S003,R,T002,耳甲腔下区,47,2,-5.4668978348779795,1.4863254667566157,13.027554769521275,,,0.75,0.0,0.25,L10,L31,L30
S003,R,T002,耳甲腔下区,48,3,-5.252289976567613,3.030072219042373,11.214709366982518,,,0.625,0.0,0.375,L10,L31,L30
S003,R,T002,耳甲腔下区,49,4,-4.838556621560916,4.871491617472888,10.48318900690768,,,0.5,0.0,0.5,L10,L31,L30
S003,R,T002,耳甲腔下区,50,5,-4.4272678626108215,6.709256589981074,9.738393586739727,,,0.375,0.0,0.625,L10,L31,L30
S003,R,T002,耳甲腔下区,51,6,-4.087415729582004,8.440230971518037,8.605670885337656,,,0.25,0.0,0.75,L10,L31,L30
S003,R,T002,耳甲腔下区,52,7,-3.7390225566934814,10.18397335101632,7.519329187082878,,,0.125,0.0,0.875,L10,L31,L30
S003,R,T002,耳甲腔下区,53,8,-3.3589281672265097,11.975105869806036,6.605136811398907,,,0.0,0.0,1.0,L10,L31,L30
S003,R,T002,耳甲腔下区,54,9,-5.296972019692147,-3.060513773483213,12.619482193375475,,,0.875,0.125,0.0,L10,L31,L30
S003,R,T002,耳甲腔下区,55,10,-4.571843125986242,-0.7535892763077293,13.578954698069204,,,0.75,0.125,0.125,L10,L31,L30
S003,R,T002,耳甲腔下区,56,11,-3.981549979694491,1.3517693019192287,13.806219259946788,,,0.625,0.125,0.25,L10,L31,L30
S003,R,T002,耳甲腔下区,57,12,-3.658676744087802,3.0573619347192453,12.581294870259795,,,0.5,0.125,0.375,L10,L31,L30
S003,R,T002,耳甲腔下区,58,13,-3.631305695758509,4.3212084351162785,9.751684388097148,,,0.375,0.125,0.5,L10,L31,L30
S003,R,T002,耳甲腔下区,59,14,-3.3195105385691575,6.010240451765183,8.46660193822305,,,0.25,0.125,0.625,L10,L31,L30
S003,R,T002,耳甲腔下区,60,15,-2.9647228010147737,7.763542064092066,7.41498508949066,,,0.125,0.125,0.75,L10,L31,L30
