sample_id,side,region_id,region_name,sample_point_count,expected_point_count,remesh_face_count,raw_unmapped_count,raw_status,repaired_unmapped_count,repair_count,repair_applied,flipped_faces,degenerate_faces,patch_face_count,mesh_exported,mesh_path,status
T076,L,T001,test,325,325,576,1,WARNING,0,1,True,0,0,8120,True,output\remesh_r24\repaired\T076_L\T001_remesh_repaired.ply,PASS
T076,L,T002,test,325,325,576,1,WARNING,0,1,True,33678,0,33678,True,output\remesh_r24\repaired\T076_L\T002_remesh_repaired.ply,PASS
T076,L,T003,test,325,325,576,1,WARNING,0,1,True,3290,0,3290,True,output\remesh_r24\repaired\T076_L\T003_remesh_repaired.ply,PASS
T076,L,T004,test,325,325,576,0,PASS,0,0,False,19529,0,19529,True,output\remesh_r24\repaired\T076_L\T004_remesh_repaired.ply,PASS
T076,L,T005,test,325,325,576,3,WARNING,0,3,True,0,0,1782,True,output\remesh_r24\repaired\T076_L\T005_remesh_repaired.ply,PASS
T076,L,T006,test,325,325,576,8,WARNING,0,8,True,0,0,8165,True,output\remesh_r24\repaired\T076_L\T006_remesh_repaired.ply,PASS
T076,L,T007,test,325,325,576,2,WARNING,0,2,True,4570,0,4570,True,output\remesh_r24\repaired\T076_L\T007_remesh_repaired.ply,PASS
T076,L,T008,test,325,325,576,113,FAIL,113,0,False,0,0,1323,False,,FAIL
T076,L,T009,test,325,325,576,4,WARNING,0,4,True,22723,0,22723,True,output\remesh_r24\repaired\T076_L\T009_remesh_repaired.ply,PASS
T076,L,T010,test,325,325,576,1,WARNING,0,1,True,0,0,3125,True,output\remesh_r24\repaired\T076_L\T010_remesh_repaired.ply,PASS
T076,L,T011,test,325,325,576,2,WARNING,0,2,True,3212,0,3212,True,output\remesh_r24\repaired\T076_L\T011_remesh_repaired.ply,PASS
T076,L,T012,test,325,325,576,1,WARNING,0,1,True,0,0,2095,True,output\remesh_r24\repaired\T076_L\T012_remesh_repaired.ply,PASS
T076,L,T013,test,325,325,576,12,WARNING,0,12,True,0,0,3913,True,output\remesh_r24\repaired\T076_L\T013_remesh_repaired.ply,PASS
