sample_id,side,region_id,region_name,sample_point_count,expected_point_count,remesh_face_count,raw_unmapped_count,raw_status,repaired_unmapped_count,repair_count,repair_applied,flipped_faces,degenerate_faces,patch_face_count,mesh_exported,mesh_path,status
T078,L,T001,test,325,325,576,2,WARNING,0,2,True,0,0,7942,True,output\remesh_r24\repaired\T078_L\T001_remesh_repaired.ply,PASS
T078,L,T002,test,325,325,576,0,PASS,0,0,False,24333,0,24333,True,output\remesh_r24\repaired\T078_L\T002_remesh_repaired.ply,PASS
T078,L,T003,test,325,325,576,0,PASS,0,0,False,0,0,15900,True,output\remesh_r24\repaired\T078_L\T003_remesh_repaired.ply,PASS
T078,L,T004,test,325,325,576,3,WARNING,0,3,True,2746,0,2746,True,output\remesh_r24\repaired\T078_L\T004_remesh_repaired.ply,PASS
T078,L,T005,test,325,325,576,1,WARNING,0,1,True,0,0,7350,True,output\remesh_r24\repaired\T078_L\T005_remesh_repaired.ply,PASS
T078,L,T006,test,325,325,576,4,WARNING,0,4,True,2813,0,2813,True,output\remesh_r24\repaired\T078_L\T006_remesh_repaired.ply,PASS
T078,L,T007,test,325,325,576,17,WARNING,0,17,True,0,0,1493,True,output\remesh_r24\repaired\T078_L\T007_remesh_repaired.ply,PASS
T078,L,T008,test,325,325,576,3,WARNING,0,3,True,0,0,11036,True,output\remesh_r24\repaired\T078_L\T008_remesh_repaired.ply,PASS
T078,L,T009,test,325,325,576,3,WARNING,0,3,True,6733,0,6733,True,output\remesh_r24\repaired\T078_L\T009_remesh_repaired.ply,PASS
T078,L,T010,test,325,325,576,0,PASS,0,0,False,0,0,3638,True,output\remesh_r24\repaired\T078_L\T010_remesh_repaired.ply,PASS
T078,L,T011,test,325,325,576,2,WARNING,0,2,True,6705,0,6705,True,output\remesh_r24\repaired\T078_L\T011_remesh_repaired.ply,PASS
T078,L,T012,test,325,325,576,9,WARNING,0,9,True,0,0,1545,True,output\remesh_r24\repaired\T078_L\T012_remesh_repaired.ply,PASS
T078,L,T013,test,325,325,576,0,PASS,0,0,False,24021,0,24021,True,output\remesh_r24\repaired\T078_L\T013_remesh_repaired.ply,PASS
T078,L,T014,test,325,325,576,1,WARNING,0,1,True,8371,0,8371,True,output\remesh_r24\repaired\T078_L\T014_remesh_repaired.ply,PASS
T078,L,T015,test,325,325,576,167,FAIL,167,0,False,0,0,405,False,,FAIL
