sample_id,side,region_id,region_name,sample_point_count,expected_point_count,remesh_face_count,unmapped_count,flipped_faces,degenerate_faces,patch_face_count,mesh_exported,mesh_path,status
T099,L,T001,test,325,325,576,1,0,0,5426,False,,WARNING
T099,L,T002,test,325,325,576,1,13673,0,13673,False,,WARNING
T099,L,T003,test,325,325,576,2,0,0,13789,False,,WARNING
T099,L,T004,test,325,325,576,1,6710,0,6710,False,,WARNING
T099,L,T005,test,325,325,576,0,0,0,6483,True,output\remesh_r24\raw\T099_L\T005_remesh.ply,PASS
T099,L,T006,test,325,325,576,0,1961,0,1961,True,output\remesh_r24\raw\T099_L\T006_remesh.ply,PASS
T099,L,T007,test,325,325,576,0,0,0,1964,True,output\remesh_r24\raw\T099_L\T007_remesh.ply,PASS
T099,L,T008,test,325,325,576,0,0,0,14765,True,output\remesh_r24\raw\T099_L\T008_remesh.ply,PASS
T099,L,T009,test,325,325,576,1,7600,0,7600,False,,WARNING
T099,L,T010,test,325,325,576,0,0,0,2752,True,output\remesh_r24\raw\T099_L\T010_remesh.ply,PASS
T099,L,T011,test,325,325,576,5,2713,0,2713,False,,WARNING
T099,L,T012,test,325,325,576,46,0,0,697,False,,WARNING
T099,L,T013,test,325,325,576,0,22621,0,22621,True,output\remesh_r24\raw\T099_L\T013_remesh.ply,PASS
T099,L,T014,test,325,325,576,3,8321,0,8321,False,,WARNING
T099,L,T015,test,325,325,576,67,0,0,632,False,,FAIL
