sample_id,side,region_id,region_name,sample_point_count,expected_point_count,remesh_face_count,unmapped_count,flipped_faces,degenerate_faces,patch_face_count,mesh_exported,mesh_path,status
T013,L,T001,test,325,325,576,7,0,0,7682,False,,WARNING
T013,L,T002,test,325,325,576,1,28832,0,28832,False,,WARNING
T013,L,T003,test,325,325,576,0,0,0,6157,True,output\remesh_r24\raw\T013_L\T003_remesh.ply,PASS
T013,L,T004,test,325,325,576,1,2256,0,2256,False,,WARNING
T013,L,T005,test,325,325,576,0,0,0,8096,True,output\remesh_r24\raw\T013_L\T005_remesh.ply,PASS
T013,L,T006,test,325,325,576,2,4550,0,4550,False,,WARNING
T013,L,T007,test,325,325,576,0,0,0,4500,True,output\remesh_r24\raw\T013_L\T007_remesh.ply,PASS
T013,L,T008,test,325,325,576,10,0,0,12766,False,,WARNING
T013,L,T009,test,325,325,576,0,26811,0,26811,True,output\remesh_r24\raw\T013_L\T009_remesh.ply,PASS
T013,L,T010,test,325,325,576,4,0,0,4128,False,,WARNING
T013,L,T011,test,325,325,576,3,4839,0,4839,False,,WARNING
T013,L,T012,test,325,325,576,2,0,0,2828,False,,WARNING
T013,L,T013,test,325,325,576,0,8289,0,8289,True,output\remesh_r24\raw\T013_L\T013_remesh.ply,PASS
T013,L,T014,test,325,325,576,0,10895,0,10895,True,output\remesh_r24\raw\T013_L\T014_remesh.ply,PASS
T013,L,T015,test,325,325,576,89,1131,0,1131,False,,FAIL
