sample_id,side,region_id,region_name,sample_point_count,expected_point_count,remesh_face_count,unmapped_count,flipped_faces,degenerate_faces,patch_face_count,mesh_exported,mesh_path,status
T049,L,T001,test,325,325,576,2,0,0,5841,False,,WARNING
T049,L,T002,test,325,325,576,3,18906,0,18906,False,,WARNING
T049,L,T003,test,325,325,576,90,0,0,505,False,,FAIL
T049,L,T004,test,325,325,576,0,24959,0,24959,True,output\remesh_r24\raw\T049_L\T004_remesh.ply,PASS
T049,L,T005,test,325,325,576,1,0,0,9470,False,,WARNING
T049,L,T006,test,325,325,576,9,2295,0,2295,False,,WARNING
T049,L,T007,test,325,325,576,0,0,0,2407,True,output\remesh_r24\raw\T049_L\T007_remesh.ply,PASS
T049,L,T008,test,325,325,576,0,0,0,8902,True,output\remesh_r24\raw\T049_L\T008_remesh.ply,PASS
T049,L,T009,test,325,325,576,0,24830,0,24830,True,output\remesh_r24\raw\T049_L\T009_remesh.ply,PASS
T049,L,T010,test,325,325,576,8,0,0,1725,False,,WARNING
T049,L,T011,test,325,325,576,16,4802,0,4802,False,,WARNING
T049,L,T012,test,325,325,576,2,0,0,2035,False,,WARNING
T049,L,T013,test,325,325,576,0,3077,0,3077,True,output\remesh_r24\raw\T049_L\T013_remesh.ply,PASS
T049,L,T014,test,325,325,576,7,13641,0,13641,False,,WARNING
T049,L,T015,test,325,325,576,307,14,0,14,False,,FAIL
