sample_id,side,region_id,region_name,sample_point_count,expected_point_count,remesh_face_count,unmapped_count,flipped_faces,degenerate_faces,patch_face_count,mesh_exported,mesh_path,status
T078,L,T001,test,325,325,576,2,0,0,7942,False,,WARNING
T078,L,T002,test,325,325,576,0,24333,0,24333,True,output\remesh_r24\raw\T078_L\T002_remesh.ply,PASS
T078,L,T003,test,325,325,576,0,0,0,15900,True,output\remesh_r24\raw\T078_L\T003_remesh.ply,PASS
T078,L,T004,test,325,325,576,3,2746,0,2746,False,,WARNING
T078,L,T005,test,325,325,576,1,0,0,7350,False,,WARNING
T078,L,T006,test,325,325,576,4,2813,0,2813,False,,WARNING
T078,L,T007,test,325,325,576,17,0,0,1493,False,,WARNING
T078,L,T008,test,325,325,576,3,0,0,11036,False,,WARNING
T078,L,T009,test,325,325,576,3,6733,0,6733,False,,WARNING
T078,L,T010,test,325,325,576,0,0,0,3638,True,output\remesh_r24\raw\T078_L\T010_remesh.ply,PASS
T078,L,T011,test,325,325,576,2,6705,0,6705,False,,WARNING
T078,L,T012,test,325,325,576,9,0,0,1545,False,,WARNING
T078,L,T013,test,325,325,576,0,24021,0,24021,True,output\remesh_r24\raw\T078_L\T013_remesh.ply,PASS
T078,L,T014,test,325,325,576,1,0,0,3365,False,,WARNING
T078,L,T015,test,325,325,576,1,5411,0,5411,False,,WARNING
