sample_id,side,edge_id,lm_start,lm_end,regions,expected_point_count,compared_point_count,invalid_point_count,replacement_point_count,unresolved_point_count,mean_distance_mm,rms_distance_mm,max_distance_mm,max_conflict_distance_mm,max_replacement_distance_mm,status
T099,L,L10__L13,L10,L13,T003;T004,25,25,0,0,1,5.329070518200751e-17,1.9860273225978183e-16,8.881784197001252e-16,8.881784197001252e-16,0.0,PASS
T099,L,L10__L17,L10,L17,T003;T005,25,25,0,0,0,1.7673094531394349e-15,2.267250003278464e-15,4.0943002132167226e-15,4.0943002132167226e-15,0.0,PASS
T099,L,L10__L31,L10,L31,T002;T004,25,25,0,1,0,4.144944977824716e-15,4.733387113140978e-15,7.923135220560787e-15,7.923135220560787e-15,0.0,PASS
T099,L,L13__L17,L13,L17,T003;T006,25,25,0,2,0,0.016216417933929285,0.0810820896696398,0.405410448348199,5.564421850464315e-15,0.405410448348199,PASS
T099,L,L13__L28,L13,L28,T006;T007,25,25,0,0,0,2.3043142425293405e-16,5.899871815800505e-16,1.9860273225978185e-15,1.9860273225978185e-15,0.0,PASS
T099,L,L17__L18,L17,L18,T005;T009,25,25,0,1,0,1.931741091667957e-15,2.5441339055204296e-15,5.7902148899581444e-15,5.7902148899581444e-15,0.0,PASS
T099,L,L17__L28,L17,L28,T006;T010,25,25,0,0,0,9.09313737697664e-16,1.5160998878791853e-15,5.4025784115714076e-15,5.4025784115714076e-15,0.0,PASS
T099,L,L17__L29,L17,L29,T009;T010,25,25,0,0,0,5.614563643885924e-16,1.098616031645337e-15,3.552713678800501e-15,3.552713678800501e-15,0.0,PASS
T099,L,L18__L20,L18,L20,T008;T011,25,25,0,3,0,0.03828271275611431,0.13560529409450764,0.5079489538313453,4.965068306494546e-15,0.5079489538313453,PASS
T099,L,L18__L29,L18,L29,T009;T011,25,25,0,1,1,0.012045557840835726,0.060227789204135296,0.3011389460206765,1.6221418424348217e-14,0.3011389460206765,PASS
T099,L,L19__L28,L19,L28,T007;T013,25,25,0,0,0,7.361660527483388e-16,8.955894641850616e-16,1.7979101253009106e-15,1.7979101253009106e-15,0.0,PASS
T099,L,L19__L29,L19,L29,T012;T013,25,25,0,8,0,0.17006028183418898,0.39667847883827817,1.1755682367982863,5.329070518200751e-15,1.1755682367982863,PASS
T099,L,L20__L21,L20,L21,T014;T015,25,25,0,1,0,4.134886233477281e-16,8.200633644425975e-16,2.220446049250313e-15,2.220446049250313e-15,0.0,PASS
T099,L,L20__L29,L20,L29,T011;T015,25,25,0,0,0,1.7789378653942266e-15,2.0466156704593566e-15,4.351167857633658e-15,4.351167857633658e-15,0.0,PASS
T099,L,L21__L29,L21,L29,T012;T015,25,25,0,3,0,0.03501198559498638,0.12393774178155118,0.459321992941515,5.9580819677934555e-15,0.459321992941515,PASS
T099,L,L28__L29,L28,L29,T010;T013,25,25,0,0,0,2.489609053547971e-15,3.1531115736861523e-15,7.53644380168212e-15,7.53644380168212e-15,0.0,PASS
T099,L,L2__L31,L2,L31,T001;T002,25,25,0,1,0,1.106400244572695e-15,1.9899954131126736e-15,5.0242958677880805e-15,5.0242958677880805e-15,0.0,PASS
