sample_id,side,edge_id,lm_start,lm_end,regions,expected_point_count,compared_point_count,invalid_point_count,replacement_point_count,unresolved_point_count,mean_distance_mm,rms_distance_mm,max_distance_mm,max_conflict_distance_mm,max_replacement_distance_mm,status
T078,L,L10__L13,L10,L13,T003;T004,25,25,0,2,0,0.0062854881693487075,0.03142744084674283,0.15713720423371413,1.7763568394002505e-15,0.15713720423371413,PASS
T078,L,L10__L17,L10,L17,T003;T005,25,25,0,1,0,3.1850621012902165e-15,3.875722031798752e-15,6.89411847443645e-15,6.89411847443645e-15,0.0,PASS
T078,L,L10__L31,L10,L31,T002;T004,25,25,0,0,0,2.5661729145498175e-15,3.0507506563812536e-15,5.687116766346677e-15,5.687116766346677e-15,0.0,PASS
T078,L,L13__L17,L13,L17,T003;T006,25,25,0,2,0,0.0042006075721457235,0.021003037860722117,0.10501518930361058,3.66205343881779e-15,0.10501518930361058,PASS
T078,L,L13__L28,L13,L28,T006;T007,25,25,0,6,0,0.22873369722015888,0.5261951559113843,1.4442084765908876,1.9860273225978185e-15,1.4442084765908876,PASS
T078,L,L17__L18,L17,L18,T005;T009,25,25,0,3,0,0.013310785794471352,0.06655392897234895,0.33276964486174476,4.5288390936029406e-15,0.33276964486174476,PASS
T078,L,L17__L28,L17,L28,T006;T010,25,25,0,3,0,0.03540099612998782,0.12516355494985917,0.44509581243242763,4.2454237469955234e-15,0.44509581243242763,PASS
T078,L,L17__L29,L17,L29,T009;T010,25,25,0,1,0,7.993605777301127e-16,2.0581989848012346e-15,7.549516567451064e-15,7.549516567451064e-15,0.0,PASS
T078,L,L18__L20,L18,L20,T008;T011,25,25,0,2,0,0.017939689040447283,0.08969844520222445,0.44849222601112226,7.178774534967052e-15,0.44849222601112226,PASS
T078,L,L18__L29,L18,L29,T009;T011,25,25,0,1,1,8.198335305685126e-15,9.777682240426156e-15,1.6207735234714224e-14,1.6207735234714224e-14,0.0,PASS
T078,L,L19__L28,L19,L28,T007;T013,25,25,0,5,0,0.10812396312732375,0.2832123711060725,0.8790825027592596,5.420799638382024e-15,0.8790825027592596,PASS
T078,L,L19__L29,L19,L29,T012;T013,25,25,0,4,0,0.017093890954134234,0.061849981828631065,0.26016374377807755,5.329070518200751e-15,0.26016374377807755,PASS
T078,L,L20__L21,L20,L21,T014;T015,25,25,0,1,0,1.338718652495163e-15,2.754874760545731e-15,7.944109290391274e-15,7.944109290391274e-15,0.0,PASS
T078,L,L20__L29,L20,L29,T011;T015,25,25,0,1,0,3.745206424227066e-15,4.457790847559254e-15,7.944109290391274e-15,7.944109290391274e-15,0.0,PASS
T078,L,L21__L29,L21,L29,T012;T015,25,25,0,3,0,0.03731835224764947,0.13240494158525154,0.5056626066400062,5.329070518200751e-15,0.5056626066400062,PASS
T078,L,L28__L29,L28,L29,T010;T013,25,25,0,0,0,2.7976532751435883e-15,3.587034207004509e-15,8.475591199538142e-15,8.475591199538142e-15,0.0,PASS
T078,L,L2__L31,L2,L31,T001;T002,25,25,0,2,0,8.94843336420466e-16,1.507288760336424e-15,3.66205343881779e-15,3.66205343881779e-15,0.0,PASS
