sample_id,side,edge_id,lm_start,lm_end,regions,expected_point_count,compared_point_count,invalid_point_count,replacement_point_count,unresolved_point_count,mean_distance_mm,rms_distance_mm,max_distance_mm,max_conflict_distance_mm,max_replacement_distance_mm,status
T097,L,L10__L13,L10,L13,T003;T004,25,25,0,6,1,0.10722214483161824,0.25674044650525346,0.7891769697372985,2.5121479338940403e-15,0.7891769697372985,PASS
T097,L,L10__L17,L10,L17,T003;T005,25,25,0,0,0,1.4358885241562078e-15,1.917699385338381e-15,5.634860374059478e-15,5.634860374059478e-15,0.0,PASS
T097,L,L10__L31,L10,L31,T002;T004,25,25,0,4,0,0.07226539116414647,0.21279675629876796,0.6922386158202058,1.8099019058861317e-14,0.6922386158202058,PASS
T097,L,L13__L17,L13,L17,T003;T006,25,25,0,4,0,0.038195691822447794,0.13525556872325728,0.504298277167802,5.347542221830668e-15,0.504298277167802,PASS
T097,L,L13__L28,L13,L28,T006;T007,25,25,0,0,0,1.9235150582990084e-16,5.02429586778808e-16,1.7763568394002505e-15,1.7763568394002505e-15,0.0,PASS
T097,L,L17__L18,L17,L18,T005;T009,25,25,0,2,0,0.019475551535207664,0.09737775767603052,0.4868887883801526,5.3302268750589315e-15,0.4868887883801526,PASS
T097,L,L17__L28,L17,L28,T006;T010,25,25,0,2,1,0.003721074892796869,0.018605374463980296,0.09302687231990149,3.66205343881779e-15,0.09302687231990149,PASS
T097,L,L17__L29,L17,L29,T009;T010,25,25,0,2,0,3.981650601120982e-16,1.1918232534497656e-15,5.347542221830668e-15,5.347542221830668e-15,0.0,PASS
T097,L,L18__L20,L18,L20,T008;T011,25,25,0,2,0,0.01659162533506033,0.08295812667529165,0.4147906333764583,7.179847579402122e-15,0.4147906333764583,PASS
T097,L,L18__L29,L18,L29,T009;T011,25,25,0,2,0,6.6744683470258745e-15,8.576920625529496e-15,1.805128410010917e-14,1.805128410010917e-14,0.0,PASS
T097,L,L19__L28,L19,L28,T007;T013,25,25,0,1,0,5.149710301975189e-16,6.887186901364327e-16,1.790180836524724e-15,1.790180836524724e-15,0.0,PASS
T097,L,L19__L29,L19,L29,T012;T013,25,25,0,2,0,3.158562988785234e-16,6.854671959125871e-16,1.9984014443252818e-15,1.9984014443252818e-15,0.0,PASS
T097,L,L20__L21,L20,L21,T014;T015,25,25,0,5,0,0.10853441831066465,0.27674657353993054,0.8385975590959436,1.9891280697202825e-15,0.8385975590959436,PASS
T097,L,L20__L29,L20,L29,T011;T015,25,25,0,4,0,0.026997240724721334,0.09742452043987154,0.40646728427032297,1.0168091383860044e-14,0.40646728427032297,PASS
T097,L,L21__L29,L21,L29,T012;T015,25,25,0,2,2,0.016231724302337294,0.08115862151168038,0.40579310755840187,4.165926057296536e-15,0.40579310755840187,PASS
T097,L,L28__L29,L28,L29,T010;T013,25,25,0,2,0,0.008059935519223337,0.040299677596104595,0.20149838798052297,7.0810995818524236e-15,0.20149838798052297,PASS
T097,L,L2__L31,L2,L31,T001;T002,25,25,0,1,1,1.0830500978194408e-15,2.4487402793704393e-15,7.106294666405892e-15,7.106294666405892e-15,0.0,PASS
