sample_id,side,edge_id,lm_start,lm_end,regions,expected_point_count,compared_point_count,invalid_point_count,replacement_point_count,unresolved_point_count,mean_distance_mm,rms_distance_mm,max_distance_mm,max_conflict_distance_mm,max_replacement_distance_mm,status
T094,L,L10__L13,L10,L13,T003;T004,25,25,0,6,0,0.15271131962521944,0.3957940035149701,1.194088190740427,1.7763568394002505e-15,1.194088190740427,PASS
T094,L,L10__L17,L10,L17,T003;T005,25,25,0,0,0,3.120282886493684e-15,4.311097647584318e-15,8.881784197001252e-15,8.881784197001252e-15,0.0,PASS
T094,L,L10__L31,L10,L31,T002;T004,25,25,0,8,0,0.45159507301258656,0.889158076085603,2.1181533585131618,1.7763568394002505e-14,2.1181533585131618,PASS
T094,L,L13__L17,L13,L17,T003;T006,25,25,0,0,0,2.284538772038978e-15,3.076740298213702e-15,7.160723346098895e-15,7.160723346098895e-15,0.0,PASS
T094,L,L13__L28,L13,L28,T006;T007,25,25,0,1,0,1.1762461937740991e-15,2.8380045529044753e-15,1.0658141036401503e-14,1.0658141036401503e-14,0.0,PASS
T094,L,L17__L18,L17,L18,T005;T009,25,25,0,1,0,2.6884900905290736e-15,3.512518264387621e-15,7.944109290391274e-15,7.944109290391274e-15,0.0,PASS
T094,L,L17__L28,L17,L28,T006;T010,25,25,0,4,0,0.0134807364878943,0.04882619129081524,0.20598732517621496,7.944109290391274e-15,0.20598732517621496,PASS
T094,L,L17__L29,L17,L29,T009;T010,25,25,0,2,0,1.9830241441293008e-15,3.3345156258578488e-15,7.95651227888113e-15,7.95651227888113e-15,0.0,PASS
T094,L,L18__L20,L18,L20,T008;T011,25,25,0,1,0,2.537364063474057e-15,3.653426681396456e-15,7.32410687763558e-15,7.32410687763558e-15,0.0,PASS
T094,L,L18__L29,L18,L29,T009;T011,25,25,0,2,0,5.860829825654238e-15,7.606129758041365e-15,1.637720085286689e-14,1.637720085286689e-14,0.0,PASS
T094,L,L19__L28,L19,L28,T007;T013,25,25,0,0,0,1.6973643289365507e-15,2.3914935841127266e-15,5.102196573270515e-15,5.102196573270515e-15,0.0,PASS
T094,L,L19__L29,L19,L29,T012;T013,25,25,0,2,0,5.083345406221116e-16,1.2180113053175104e-15,3.972054645195637e-15,3.972054645195637e-15,0.0,PASS
T094,L,L20__L21,L20,L21,T014;T015,25,25,0,3,2,0.08015418266022939,0.2385436689279162,0.8505026708911264,3.076740298213702e-15,0.8505026708911264,PASS
T094,L,L20__L29,L20,L29,T011;T015,25,25,0,4,0,0.02592750861816007,0.09374802078091231,0.39353313975007603,1.0910165673667116e-14,0.39353313975007603,PASS
T094,L,L21__L29,L21,L29,T012;T015,25,25,0,1,1,0.012144686709423605,0.060723433547107505,0.30361716773553754,5.102196573270515e-15,0.30361716773553754,PASS
T094,L,L28__L29,L28,L29,T010;T013,25,25,0,0,0,3.5858799802514256e-15,4.7955080816224495e-15,8.702335715267317e-15,8.702335715267317e-15,0.0,PASS
T094,L,L2__L31,L2,L31,T001;T002,25,25,0,1,0,5.684341886080802e-16,1.7404671430534634e-15,7.105427357601002e-15,7.105427357601002e-15,0.0,PASS
