sample_tag,region_id,region_name,sample_point_count,expected_point_count,unmapped_count,unmapped_ratio,raw_unmapped_count,raw_unmapped_ratio,raw_status,repaired_unmapped_count,repair_count,repair_applied,flipped_faces,degenerate_faces,patch_face_count,remesh_face_count,status,sample_id,side,figure_path,error
T077_L,T008,test,325,325,0,0.0,3,0.009230769230769232,WARNING,0,3,True,0,0,7471,576,PASS,T077,L,output\qc_visualizations_r24\repaired\T077_L\T008_qc.png,
T077_L,T009,test,325,325,0,0.0,51,0.15692307692307692,WARNING,0,51,True,2284,0,2284,576,PASS,T077,L,output\qc_visualizations_r24\repaired\T077_L\T009_qc.png,
T077_L,T010,test,325,325,0,0.0,1,0.003076923076923077,WARNING,0,1,True,0,0,3797,576,PASS,T077,L,output\qc_visualizations_r24\repaired\T077_L\T010_qc.png,
T077_L,T011,test,325,325,0,0.0,6,0.018461538461538463,WARNING,0,6,True,2188,0,2188,576,PASS,T077,L,output\qc_visualizations_r24\repaired\T077_L\T011_qc.png,
T077_L,T012,test,325,325,0,0.0,1,0.003076923076923077,WARNING,0,1,True,0,0,2032,576,PASS,T077,L,output\qc_visualizations_r24\repaired\T077_L\T012_qc.png,
T077_L,T013,test,325,325,0,0.0,6,0.018461538461538463,WARNING,0,6,True,0,0,3495,576,PASS,T077,L,output\qc_visualizations_r24\repaired\T077_L\T013_qc.png,
T078_L,T001,test,325,325,0,0.0,2,0.006153846153846154,WARNING,0,2,True,0,0,7942,576,PASS,T078,L,output\qc_visualizations_r24\repaired\T078_L\T001_qc.png,
T078_L,T002,test,325,325,0,0.0,0,0.0,PASS,0,0,False,24333,0,24333,576,PASS,T078,L,output\qc_visualizations_r24\repaired\T078_L\T002_qc.png,
T078_L,T003,test,325,325,0,0.0,23,0.07076923076923076,WARNING,0,23,True,2060,0,2060,576,PASS,T078,L,output\qc_visualizations_r24\repaired\T078_L\T003_qc.png,
T078_L,T004,test,325,325,0,0.0,2,0.006153846153846154,WARNING,0,2,True,20922,0,20922,576,PASS,T078,L,output\qc_visualizations_r24\repaired\T078_L\T004_qc.png,
T078_L,T005,test,325,325,0,0.0,2,0.006153846153846154,WARNING,0,2,True,0,0,6198,576,PASS,T078,L,output\qc_visualizations_r24\repaired\T078_L\T005_qc.png,
T078_L,T006,test,325,325,0,0.0,3,0.009230769230769232,WARNING,0,3,True,0,0,11036,576,PASS,T078,L,output\qc_visualizations_r24\repaired\T078_L\T006_qc.png,
T078_L,T007,test,325,325,0,0.0,2,0.006153846153846154,WARNING,0,2,True,6705,0,6705,576,PASS,T078,L,output\qc_visualizations_r24\repaired\T078_L\T007_qc.png,
T078_L,T008,test,325,325,0,0.0,2,0.006153846153846154,WARNING,0,2,True,0,0,5446,576,PASS,T078,L,output\qc_visualizations_r24\repaired\T078_L\T008_qc.png,
T078_L,T009,test,325,325,0,0.0,6,0.018461538461538463,WARNING,0,6,True,4359,0,4359,576,PASS,T078,L,output\qc_visualizations_r24\repaired\T078_L\T009_qc.png,
T078_L,T010,test,325,325,0,0.0,0,0.0,PASS,0,0,False,0,0,18992,576,PASS,T078,L,output\qc_visualizations_r24\repaired\T078_L\T010_qc.png,
T078_L,T011,test,325,325,0,0.0,1,0.003076923076923077,WARNING,0,1,True,5411,0,5411,576,PASS,T078,L,output\qc_visualizations_r24\repaired\T078_L\T011_qc.png,
T078_L,T012,test,325,325,0,0.0,9,0.027692307692307693,WARNING,0,9,True,0,0,1545,576,PASS,T078,L,output\qc_visualizations_r24\repaired\T078_L\T012_qc.png,
T078_L,T013,test,325,325,0,0.0,1,0.003076923076923077,WARNING,0,1,True,0,0,3365,576,PASS,T078,L,output\qc_visualizations_r24\repaired\T078_L\T013_qc.png,
